gp_code,af_prev,ast_prev,can_prev,chd_prev,ckd_prev,copd_prev,dem_prev,dep_prev,dm_prev,ep_prev,hf_prev,hyp_prev,ld_prev,mh_prev,ndh_prev,ob_prev,ost_prev,pad_prev,pc_prev,ra_prev,stia_prev
C84695,1.4794889038332213,6.731001206272618,2.2864828513786146,2.0623178659493386,3.4564254062038406,2.376148845550325,1.0984084286034521,19.409158050221563,7.627610208816706,0.827178729689808,1.0311589329746693,13.517148621385338,0.829410446088321,1.3449899125756557,6.971935007385524,16.632200886262925,1.4261744966442953,0.7845774490024657,1.2329074198610177,0.4278379920136908,1.5691548980049315
C84696,2.614116227629198,7.5143281681171725,4.604866277900664,2.996179368590388,5.532020931971094,1.6287954956766537,0.7842348682887592,10.241714428108647,6.87192118226601,0.722651383005233,0.9652121455861653,15.785240297607078,0.4423889000603257,0.6635833500904886,5.108397707450784,10.6154996262148,0.14749262536873156,0.30162879549567667,0.36195455459481196,0.4613890237979602,1.9304242911723306
C84703,1.7841344736066058,6.9890795631825275,3.170156296077853,2.2117369507519906,3.521939953810624,0.9584193453258626,0.8109702152757298,10.739030023094688,5.8323895809739525,0.8083140877598153,0.6192863462105573,13.049248009436745,0.3391329991153052,0.6045414332055441,5.0423402617398,11.797536566589685,0.4088307440719542,0.22117369507519907,0.9731642583308757,0.7410151908114117,1.7988793866116188
C84704,1.4760147601476015,7.1215813701597614,2.977478050642575,3.384654536200534,5.718598021130304,2.430334648174068,1.0306654790685839,17.172564145564316,10.86849450008209,0.9726647660573536,1.5778088815370912,18.7428426008398,0.9161470925054078,1.5523603511897188,8.636592319302364,28.72715076303874,2.6556016597510372,0.7507316452474869,1.1833566611528183,0.8360128617363344,2.1631250795266572
C84705,1.9100980516999873,7.355974150969338,3.0816248567426463,2.202979752960652,4.600722970752546,2.050171908824653,0.4329555583853305,15.34669733815314,7.762113109706692,0.9201445941505093,0.8022411817139946,15.99388768623456,0.5475614414873297,0.8531771297593277,6.424581005586592,15.428853105488006,0.3711952487008166,0.34381764930599773,0.305615688271998,0.797702616464582,1.48987648032599
C84714,0.01490757304710793,2.3113629585445867,0.22361359570661896,0.044722719141323794,0.0447427293064877,0.0,0.0,9.142431021625653,0.5219206680584552,0.22371364653243847,0.044722719141323794,0.5664877757901015,0.01490757304710793,0.10435301132975551,0.20879940343027592,6.33855331841909,0.0,0.0,0.01490757304710793,0.029824038174768867,0.02981514609421586
C85001,2.4368432819137045,7.234650166587339,3.845293986139057,4.158283031522468,4.16435313714603,5.052537446903644,0.9613234965347642,17.07384786229872,9.542089388538525,1.1382565241532483,1.6096579476861168,19.852448021462106,0.8048289738430584,1.0954616588419406,8.46751804553026,20.73847862298723,0.38953811908736785,1.3190252626872345,0.9166107757657053,1.0825439783491204,2.2803487592219986
C85003,2.5114155251141552,7.2981998859656265,3.3942161339421615,3.812785388127854,3.9644565960355433,3.1963470319634704,0.9741248097412482,13.768186700517527,8.920142568153357,1.0545845132311298,1.5296803652968036,17.770167427701676,0.7229832572298325,1.0502283105022832,9.217849819353578,20.525339322331803,0.2501563477173233,1.1796042617960425,0.7686453576864536,0.7107657316148598,2.3439878234398783
C85004,3.3500634939831895,7.9597264437689965,5.139989115317167,4.148273568361855,5.044333507190224,2.14670133639717,0.677269154018262,15.051039415840847,7.567527891955372,0.8792191341926832,1.6387494708834733,21.563766100260022,0.32654048497309063,0.6712221080002418,9.760822591461144,16.921242828403248,0.2751031636863824,0.5563282336578581,1.2638326177662211,0.8744038155802861,2.860252766523553
C85005,2.9462970403107005,8.771929824561402,3.9373242265970267,4.754252042319539,3.183023872679045,3.6159100040176777,1.1785188161242803,12.964190981432361,10.405759162303665,0.8786472148541113,1.7677782241864202,17.409937056381413,0.7499665193518147,0.7767510379000937,8.255968169761273,20.573607427055705,0.18909549322407815,1.7677782241864202,0.6963974822552564,0.9511526680638401,2.9462970403107005
