month,gp_code,supplier,oc_total,oc_clinical,oc_admin,oc_rate_1k,list_size,oc_capability,oc_usage
2023-04,A82650,None/Unknown,0.0,0.0,0.0,0.0,2854.0,0.0,0.0
2023-04,A82651,ACCURX LIMITED,20.0,2.0,18.0,4.125412541254125,4848.0,1.0,1.0
2023-04,A82654,EMIS HEALTH SECONDARY CARE,27.0,0.0,0.0,3.481624758220503,7755.0,1.0,1.0
2023-04,A83001,ECONSULT HEALTH LIMITED,289.0,197.0,92.0,19.217981114509907,15038.0,1.0,1.0
2023-04,A83003,ECONSULT HEALTH LIMITED,60.0,43.0,17.0,6.558810668998688,9148.0,1.0,1.0
2023-04,A83005,ECONSULT HEALTH LIMITED,212.0,121.0,91.0,17.640206357130968,12018.0,1.0,1.0
2023-04,A83006,ECONSULT HEALTH LIMITED,86.0,62.0,24.0,10.185952860357691,8443.0,1.0,1.0
2023-04,A83007,ECONSULT HEALTH LIMITED,360.0,203.0,157.0,36.0938439943854,9974.0,1.0,1.0
2023-04,A83008,ECONSULT HEALTH LIMITED,58.0,43.0,15.0,11.022424933485366,5262.0,1.0,1.0
2023-04,A83009,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",162.0,109.0,53.0,20.303296152400048,7979.0,1.0,1.0
2023-04,A83010,ECONSULT HEALTH LIMITED,360.0,229.0,131.0,26.73995394785709,13463.0,1.0,1.0
2023-04,A83011,ECONSULT HEALTH LIMITED,371.0,267.0,104.0,10.884553322575911,34085.0,1.0,1.0
2023-04,A83012,ECONSULT HEALTH LIMITED,510.0,261.0,249.0,32.10980293395455,15883.0,1.0,1.0
2023-04,A83013,ECONSULT HEALTH LIMITED,312.0,223.0,89.0,24.06664609688368,12964.0,1.0,1.0
2023-04,A83014,ECONSULT HEALTH LIMITED,143.0,83.0,60.0,22.72366121086922,6293.0,1.0,1.0
2023-04,A83015,ECONSULT HEALTH LIMITED,29.0,23.0,6.0,2.933144533225448,9887.0,1.0,1.0
2023-04,A83016,ECONSULT HEALTH LIMITED,99.0,68.0,31.0,9.148877183254784,10821.0,1.0,1.0
2023-04,A83018,ECONSULT HEALTH LIMITED,270.0,133.0,137.0,15.594316737899966,17314.0,1.0,1.0
2023-04,A83020,ECONSULT HEALTH LIMITED,53.0,19.0,34.0,3.931167482569352,13482.0,1.0,1.0
2023-04,A83021,ECONSULT HEALTH LIMITED,65.0,45.0,20.0,4.267892317793828,15230.0,1.0,1.0
2023-04,A83022,ECONSULT HEALTH LIMITED,629.0,321.0,308.0,23.47803366802285,26791.0,1.0,1.0
2023-04,A83023,ECONSULT HEALTH LIMITED,76.0,59.0,17.0,6.230529595015576,12198.0,1.0,1.0
2023-04,A83024,ECONSULT HEALTH LIMITED,81.0,25.0,56.0,14.917127071823204,5430.0,1.0,1.0
2023-04,A83025,ECONSULT HEALTH LIMITED,67.0,42.0,25.0,5.042143287176399,13288.0,1.0,1.0
2023-04,A83026,ECONSULT HEALTH LIMITED,179.0,22.0,157.0,16.746187669566847,10689.0,1.0,1.0
2023-04,A83027,ECONSULT HEALTH LIMITED,74.0,42.0,32.0,10.385964912280702,7125.0,1.0,1.0
2023-04,A83028,ECONSULT HEALTH LIMITED,214.0,112.0,102.0,22.838847385272143,9370.0,1.0,1.0
2023-04,A83029,ECONSULT HEALTH LIMITED,92.0,41.0,51.0,17.296484301560444,5319.0,1.0,1.0
2023-04,A83030,ECONSULT HEALTH LIMITED,266.0,161.0,105.0,18.671907903973043,14246.0,1.0,1.0
2023-04,A83031,ECONSULT HEALTH LIMITED,122.0,102.0,20.0,10.935819290068125,11156.0,1.0,1.0
2023-04,A83032,ECONSULT HEALTH LIMITED,4.0,1.0,3.0,1.5885623510722795,2518.0,1.0,1.0
2023-04,A83033,ECONSULT HEALTH LIMITED,257.0,182.0,75.0,27.311370882040386,9410.0,1.0,1.0
2023-04,A83034,ECONSULT HEALTH LIMITED,154.0,106.0,48.0,14.389833675948422,10702.0,1.0,1.0
2023-04,A83035,ECONSULT HEALTH LIMITED,102.0,80.0,22.0,14.28171380565668,7142.0,1.0,1.0
2023-04,A83036,ECONSULT HEALTH LIMITED,127.0,55.0,72.0,11.8161518422032,10748.0,1.0,1.0
2023-04,A83037,ECONSULT HEALTH LIMITED,1321.0,1193.0,128.0,98.3325889534018,13434.0,1.0,1.0
2023-04,A83038,ECONSULT HEALTH LIMITED,145.0,102.0,43.0,24.48910656983617,5921.0,1.0,1.0
2023-04,A83040,ECONSULT HEALTH LIMITED,232.0,197.0,35.0,19.5236893040478,11883.0,1.0,1.0
2023-04,A83041,ECONSULT HEALTH LIMITED,128.0,83.0,45.0,17.67223526163192,7243.0,1.0,1.0
2023-04,A83043,ECONSULT HEALTH LIMITED,7.0,2.0,5.0,2.5983667409057167,2694.0,1.0,1.0
2023-04,A83044,ECONSULT HEALTH LIMITED,104.0,57.0,47.0,13.141268637856962,7914.0,1.0,1.0
2023-04,A83045,ECONSULT HEALTH LIMITED,370.0,195.0,175.0,24.75247524752476,14948.0,1.0,1.0
2023-04,A83046,ECONSULT HEALTH LIMITED,9.0,7.0,2.0,0.8311784263021795,10828.0,1.0,1.0
