gp_code,list_jul26
B85037,5685
B85038,5835
B85041,15880
B85042,9036
B85044,2871
B85048,4406
B85051,6865
B85054,10434
B85055,13099
B85058,3041
B85059,8611
B85060,2309
B85061,9615
B85062,13107
B85606,4500
B85610,10963
B85611,3646
B85612,4876
B85614,6821
B85619,3201
B85620,3040
B85623,3408
B85634,3627
B85636,4459
B85640,3632
B85641,4093
B85645,2480
B85646,6175
B85650,4705
B85652,7699
B85655,2801
B85659,1672
B85660,6719
B86002,14448
B86003,16615
B86004,8561
B86005,5559
B86006,15074
B86007,9374
B86008,19051
B86010,10038
B86011,9565
B86012,19227
B86013,19717
B86014,13394
B86015,13889
B86016,18318
B86017,16635
B86018,7315
B86019,20258
B86020,11176
B86022,14012
B86024,9610
B86025,10704
B86028,5170
B86029,5749
B86030,10494
B86032,18662
B86033,11848
B86034,6847
B86035,9256
B86036,11002
B86038,10555
B86039,9570
B86041,7676
B86042,15726
B86043,10211
B86044,28312
B86048,14552
B86049,9965
B86050,20365
B86051,15018
B86052,12139
B86054,6187
B86055,13667
B86057,19928
B86059,16256
B86060,10910
B86061,4807
B86062,8270
B86064,17077
B86066,14508
B86067,16756
B86068,7736
B86069,13323
B86070,4508
B86071,8311
B86075,14256
B86081,14115
B86086,7105
B86089,6046
B86092,6780
B86093,5736
B86094,4869
B86096,5572
B86100,7480
B86101,3501
B86103,9509
B86104,17483
B86106,7670
B86108,6573
B86109,7591
B86110,39339
B86642,2766
B86643,3759
B86648,2476
B86655,2285
B86658,11510
B86666,5696
B86667,7761
B86669,2774
B86672,6906
B86673,7014
B86675,5036
B86678,2992
B87001,9935
B87002,10452
B87003,11016
B87004,11710
B87005,11615
B87006,10583
B87007,16389
B87008,13302
B87009,6252
B87011,13162
B87012,9861
B87013,14494
B87015,7199
B87016,24414
B87017,26922
B87018,11734
B87019,7356
B87020,13798
B87021,12806
B87022,9011
B87025,8467
B87026,14554
B87027,13930
B87028,11033
B87030,29807
B87031,22088
B87032,8140
B87033,5809
B87036,4257
B87039,14589
B87042,5446
B87044,2415
B87602,3810
B87604,2933
C81001,11457
C81002,12271
C81003,10088
C81004,10437
C81005,16760
C81006,29276
C81007,11796
C81008,9705
C81009,21177
C81010,13782
C81012,15657
C81013,4672
C81014,11721
C81015,12449
C81016,8453
C81017,8928
C81018,9226
C81020,11217
C81021,14963
C81022,4127
C81023,7878
C81025,10425
C81026,6688
C81027,8503
C81029,17226
C81030,9260
C81031,9740
C81032,13787
C81033,15837
C81034,16579
C81035,12479
C81036,4607
C81037,10852
