gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte
F81057,5.066666667,1.6,0.0,5.973333333999999,0.0,2.64,1.450133333,12.51
F81060,2.2,0.0,0.0,0.0,0.0,1.24,0.666666667,5.242666667
F81061,3.186666667,0.96,0.0,2.133333333,0.0,2.293333333,0.0,9.786666667
F81062,1.306666667,1.44,0.64,0.0,0.0,1.146666667,0.693333333,4.213333333
F81065,1.480030118,0.0,0.0,0.0,0.0,0.266666667,0.0,3.266666667
F81066,3.333333333,0.08,0.0,2.9866666669999997,0.0,2.04,0.64,5.413333333
F81067,3.933333333,3.653333333,0.0,0.0,0.0,4.44,4.666666667,20.58
F81068,8.293333333,1.8,0.0,11.306666667,0.0,4.56,4.746666667,15.12
F81069,0.986666667,1.2,0.0,0.0,0.0,1.906666667,2.586666667,10.41333333
F81071,2.666666667,1.28,0.0,2.56,0.0,2.133333333,2.0,15.78666667
F81072,1.36,2.133333333,0.0,0.0,0.0,0.573333333,1.253333333,6.386666667
F81075,1.333333333,0.533333333,0.533333333,0.0,0.0,2.773333333,2.28,16.28
F81076,2.0,0.0,0.0,0.0,0.0,0.933333333,1.92,5.346666667
F81078,1.749333334,2.899466667,0.0,1.066666667,0.0,1.36,1.68,8.833333333
F81080,1.746666667,2.866666666,0.4,1.066666667,0.0,3.613333333,1.146666667,14.83333333
F81081,3.333333333,5.0,0.0,6.613333333,0.0,9.853333333,19.34666667,24.56
F81082,0.666666667,0.0,0.853333333,0.0,0.0,1.706666667,0.0,5.96
F81083,3.6,0.266666667,0.0,4.053333333,0.0,3.626666667,0.64,11.66
F81085,2.891466667,0.897866667,0.0,1.92,0.0,3.48,3.493333333,15.63544397
F81086,1.653333333,1.304,0.0,1.066666667,0.0,0.293333333,0.706666667,8.506666667
F81087,3.04,2.106666667,0.0,5.973333333,0.0,4.64,8.093333333,9.2
F81088,0.773333333,0.0,0.0,0.0,0.0,0.0,0.0,2.906666667
F81089,3.2,1.2,0.746666667,0.0,0.0,0.94,0.64,12.26666667
F81090,1.066666667,2.55656613,0.0,2.133333334,0.0,1.999312292,5.538610117,13.37168235
F81091,2.8,1.6,0.0,4.48,0.0,0.88,2.546666667,12.0
F81092,1.866666667,0.0,0.373333333,0.0,0.0,0.6,0.0,3.733333333
F81095,5.0,2.64,0.0,4.693333333,0.0,3.706666667,3.08,28.05333333
F81096,1.68,0.0,1.2,3.413333334,0.0,2.173333333,1.76,11.52
F81097,4.16,3.6,0.0,5.973333333,0.0,5.413333333,4.0,22.77333333
F81098,3.306666667,2.013333333,0.0,0.0,0.0,2.786666667,3.426666667,6.986666667
F81099,2.866666667,0.357333333,0.0,0.0,0.0,4.466666667,5.6,10.68
F81100,1.889066667,8.17832,0.0,0.853333333,0.0,4.466666667,15.40473659,34.27379298
F81101,1.0,1.426666667,0.346666667,0.0,0.0,0.746666667,0.56,5.893333333
F81102,1.493333333,0.0,0.0,0.0,0.0,1.48,1.253333333,6.0
F81104,0.666666667,1.533333333,0.0,0.0,0.0,0.213333333,0.0,1.306666667
F81105,5.333333334,5.566666667,0.226666667,2.773333333,0.0,6.012645625,11.21333333,24.70666667
F81106,3.0,0.56,0.0,2.453333334,0.0,0.666666667,3.333333333,10.89333333
F81108,6.242666667,4.282666667,0.0,2.773333333,0.0,4.059290639,2.4,19.58666667
F81110,0.75,1.426666667,2.68,0.0,0.0,3.506666667,3.533333333,14.84
F81112,3.0,1.04,0.0,4.373333333,0.0,2.72,1.84,13.04
F81113,4.746666667,0.437333333,0.0,1.066666667,0.0,3.306666667,0.72,11.29333333
F81114,6.933333333,3.2,0.0,1.706666667,0.0,1.986666667,1.493333333,10.76
F81115,7.893333333,7.733333333999999,0.0,5.546666667,0.0,9.74,8.986666667,37.71544397
F81116,2.56,2.106666667,0.0,1.92,0.0,5.026666667,6.313333334,16.94666667
F81117,0.0,3.586666667,0.0,0.0,0.0,1.0,0.573333333,6.586666667
F81118,2.773333333,5.48,0.0,3.413333334,0.0,1.253333333,4.413333333,14.30666667
F81119,5.8,0.0,0.0,2.133333334,0.0,2.253333333,4.453333333,11.75333333
F81120,4.506666667,0.72,0.0,4.053333333,0.0,3.653333333,1.6,16.76213333
F81121,0.84,0.0,0.835637075,3.4133333329999997,0.0,2.0,0.533333333,8.106666667
F81122,5.96,7.62,0.0,4.693333333,0.0,8.586666667,2.173333333,30.03333333
F81123,10.02666667,8.120000000000001,0.0,3.6399999999999997,0.0,2.88,6.88,24.35333333
F81125,5.333333334,1.933333333,0.0,2.56,0.0,1.6,5.92,22.77333333
F81126,2.6666666670000003,0.56,0.0,3.2,0.0,3.92,0.906666667,13.28692625
F81128,0.8,4.293333333,2.08,1.066666667,0.0,5.333333333,1.426666667,22.09333333
F81130,1.066666667,1.093333333,0.0,0.0,0.0,3.753333333,2.466666667,5.426666667
F81131,2.666666667,0.666666667,0.0,0.853333333,0.0,1.733333333,2.586666667,8.626666667
F81132,4.266666667,0.48,0.0,1.066666667,0.0,4.96,4.44,20.06666667
F81133,1.56,3.541333333,0.0,0.0,0.0,6.4,4.813333333,15.22666667
F81134,2.0,0.426666667,0.0,0.0,0.0,0.92,4.0,6.0
