gp_code,practice_name,registered_patients,weighted_patients,weighting_ratio
A88003,MARSDEN MEDICAL GROUP,22786.25,24592.33,1.0792618355367822
A88004,MAYFIELD MEDICAL GROUP,9092.25,10292.8,1.1320410239489676
A88005,WENLOCK ROAD SURGERY,4453.25,4895.01,1.0991994610677596
A88006,TALBOT MEDICAL CENTRE,7837.0,8767.45,1.118725277529667
A88007,WAWN STREET SURGERY,0.0,0.0,
A88008,TRINITY MEDICAL CENTRE,6477.25,7174.79,1.1076907638272415
A88009,DR THORNILEY-WALKER & PARTNERS,6075.0,6405.25,1.0543621399176955
A88010,ALBERT ROAD SURGERY,3352.0,4166.32,1.2429355608591885
A88012,ELLISON VIEW SURGERY,6095.75,6748.25,1.1070417914120494
A88013,CENTRAL SURGERY,19124.25,20101.57,1.0511037034132058
A88014,WEST VIEW SURGERY,2889.75,2705.23,0.9361467254952851
A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,7389.25,7955.35,1.0766112934330279
A88016,COLLIERY COURT MEDICAL GROUP,8274.0,8634.72,1.0435968092820884
A88022,THE GLEN MEDICAL GROUP,11144.75,11915.31,1.0691410753942439
A88023,WHITBURN SURGERY,5385.5,5921.92,1.0996044935474887
A88025,THE G.P.SUITE,4447.0,5546.0,1.2471328985833146
A88601,IMEARY MEDICAL GROUP,4263.25,4723.0,1.1078402627103736
A88608,RAVENSWORTH SURGERY,5921.75,6842.69,1.1555182167433613
A88613,EAST WING PRACTICE,4269.25,5188.2,1.2152485799613515
A89001,DEERNESS PARK MEDICAL GROUP,13494.25,16122.94,1.1948007484669396
A89002,RIVERVIEW SURGERY,7002.0,7578.89,1.0823893173379036
A89004,HETTON GROUP PRACTICE,11826.5,14790.96,1.2506624952437322
A89005,VILLETTE SURGERY,5743.25,6936.0,1.2076785792016715
A89006,WEARSIDE MEDICAL PRACTICE - PALLION,8190.0,8657.05,1.057026862026862
A89007,PALLION FAMILY PRACTICE,10161.75,11549.0,1.1365168401112014
A89008,RED HOUSE MEDICAL CENTRE,5522.75,6299.89,1.140716128740211
