gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
H83028,73.3,60.49,-12.81,45.9,28.96,-16.94,27.4,31.53,4.13,81.33,58.34,-22.99
H83029,66.3,49.18,-17.12,32.5,24.06,-8.44,33.8,25.12,-8.68,77.46,43.18,-34.28
H83030,47.93,25.75,-22.17,26.51,8.4,-18.1,21.42,17.35,-4.07,60.35,36.36,-23.99
H83031,28.61,45.09,16.48,15.99,24.12,8.13,12.62,20.97,8.35,23.11,43.58,20.47
H83033,63.99,50.16,-13.83,36.86,28.74,-8.12,27.13,21.42,-5.71,64.31,47.3,-17.01
H83034,66.1,54.5,-11.6,29.38,21.38,-8.01,36.72,33.13,-3.59,55.53,47.75,-7.78
H83037,66.42,42.02,-24.4,41.34,18.97,-22.37,25.08,23.05,-2.03,72.53,35.88,-36.65
H83039,64.44,61.03,-3.41,39.36,36.07,-3.29,25.08,24.96,-0.12,69.62,62.81,-6.81
H83042,55.83,60.76,4.93,30.16,37.22,7.06,25.66,23.53,-2.13,54.3,56.19,1.9
H83043,59.78,60.8,1.02,32.69,29.8,-2.89,27.09,31.0,3.91,58.6,57.36,-1.23
H83044,59.32,58.34,-0.99,31.4,27.89,-3.51,27.92,30.45,2.52,57.74,54.9,-2.84
H83049,66.48,74.66,8.18,34.99,45.73,10.74,31.49,28.94,-2.56,51.91,80.33,28.43
H83051,77.48,46.54,-30.94,46.23,25.93,-20.31,31.25,20.61,-10.63,80.93,39.82,-41.11
H83052,71.33,67.84,-3.49,23.57,27.09,3.52,47.76,40.75,-7.0,57.1,54.31,-2.8
H83053,50.97,52.55,1.58,22.44,24.5,2.05,28.53,28.06,-0.47,44.04,47.18,3.14
H83608,66.69,74.15,7.45,23.0,17.49,-5.5,43.69,56.65,12.96,56.51,56.56,0.05
H83609,49.68,35.6,-14.08,29.79,21.05,-8.74,19.9,14.56,-5.34,86.04,84.3,-1.74
H83611,41.19,41.55,0.36,25.03,29.99,4.96,16.16,11.56,-4.6,34.4,40.11,5.72
H83624,74.23,80.88,6.65,40.26,47.29,7.03,33.97,33.59,-0.38,85.24,76.2,-9.04
H83627,59.16,49.62,-9.54,37.22,27.82,-9.4,21.94,21.8,-0.14,56.05,52.51,-3.54
H83631,41.03,53.53,12.5,13.1,30.07,16.97,27.93,23.47,-4.47,19.42,44.29,24.87
H84002,53.87,42.21,-11.66,25.98,22.99,-3.0,27.88,19.22,-8.66,52.06,39.58,-12.48
H84005,57.41,56.15,-1.26,28.58,33.06,4.48,28.84,23.1,-5.74,44.15,49.31,5.16
H84006,71.33,63.89,-7.44,31.5,29.46,-2.04,39.82,34.43,-5.4,56.08,49.14,-6.94
H84007,80.29,76.57,-3.72,46.2,45.83,-0.36,34.09,30.73,-3.36,72.09,66.77,-5.32
H84010,57.11,66.01,8.9,31.27,38.68,7.41,25.84,27.33,1.49,51.27,57.2,5.93
H84012,83.84,82.45,-1.39,28.32,27.33,-1.0,55.51,55.12,-0.39,73.99,72.6,-1.39
H84014,52.74,43.99,-8.75,31.11,25.38,-5.73,21.62,18.61,-3.01,42.68,33.59,-9.09
H84015,58.82,60.19,1.37,30.41,27.29,-3.12,28.4,32.89,4.49,55.52,59.13,3.61
H84016,55.77,58.82,3.05,23.38,23.11,-0.27,32.38,35.71,3.32,45.4,45.73,0.33
H84017,70.82,69.78,-1.04,59.82,56.61,-3.22,11.0,13.17,2.17,68.65,66.23,-2.42
H84018,64.95,70.64,5.69,38.75,48.7,9.95,26.19,21.93,-4.26,55.32,65.59,10.27
H84020,49.55,33.67,-15.88,26.38,16.05,-10.33,23.17,17.62,-5.55,39.5,21.12,-18.38
H84023,0.0,63.74,63.74,0.0,34.2,34.2,0.0,29.55,29.55,0.0,58.43,58.43
H84025,74.37,48.23,-26.14,39.72,23.26,-16.46,34.64,24.97,-9.68,70.65,35.86,-34.8
H84027,73.89,53.85,-20.04,43.52,33.05,-10.47,30.38,20.81,-9.57,67.41,53.21,-14.2
H84030,47.25,49.64,2.39,19.85,16.51,-3.34,27.4,33.13,5.73,33.84,32.47,-1.37
H84031,77.38,69.81,-7.57,35.94,28.14,-7.81,41.43,41.67,0.24,68.6,56.08,-12.52
H84032,51.83,54.62,2.79,23.18,29.65,6.47,28.65,24.97,-3.69,34.08,41.18,7.1
H84033,65.45,62.91,-2.53,36.08,34.42,-1.66,29.37,28.49,-0.88,60.37,64.76,4.39
H84034,81.09,72.09,-9.0,43.89,48.13,4.24,37.2,23.96,-13.24,71.72,78.38,6.66
H84039,71.48,73.75,2.26,36.82,41.83,5.01,34.66,31.91,-2.75,61.7,65.47,3.77
H84040,45.4,44.43,-0.97,17.59,20.29,2.7,27.81,24.14,-3.67,26.36,28.48,2.12
H84041,63.54,60.93,-2.61,40.05,37.36,-2.69,23.49,23.57,0.08,61.89,64.78,2.89
H84042,89.45,88.69,-0.76,70.15,69.36,-0.79,19.3,19.33,0.03,92.48,90.62,-1.86
H84044,62.09,60.87,-1.21,35.48,34.08,-1.4,26.61,26.79,0.19,52.88,49.51,-3.37
H84048,72.57,57.59,-14.97,42.07,44.52,2.45,30.5,13.08,-17.42,72.88,53.12,-19.76
H84050,74.24,56.51,-17.72,36.5,27.65,-8.85,37.73,28.86,-8.87,69.12,47.0,-22.12
H84051,40.19,30.06,-10.13,11.6,8.16,-3.44,28.59,21.91,-6.69,23.14,13.84,-9.29
H84053,59.27,62.37,3.1,33.03,43.72,10.68,26.23,18.65,-7.58,47.6,57.82,10.22
H84054,63.52,60.98,-2.54,39.06,36.8,-2.26,24.46,24.18,-0.28,57.82,57.67,-0.15
H84055,55.26,54.59,-0.67,31.62,33.06,1.44,23.64,21.53,-2.11,46.74,50.76,4.02
H84057,67.34,68.59,1.24,32.52,38.12,5.6,34.82,30.47,-4.35,51.98,60.94,8.95
H84059,56.82,47.15,-9.67,23.56,24.15,0.59,33.26,23.0,-10.26,46.33,35.91,-10.43
H84060,69.35,66.47,-2.89,37.13,37.91,0.79,32.22,28.55,-3.67,55.44,53.83,-1.62
H84061,79.05,86.26,7.21,51.85,57.49,5.64,27.2,28.77,1.57,80.64,91.02,10.38
H84062,49.95,51.29,1.34,18.87,23.05,4.18,31.08,28.24,-2.84,36.74,44.23,7.5
H84618,68.61,68.39,-0.22,29.83,37.44,7.61,38.78,30.95,-7.84,50.9,60.69,9.79
H84619,34.25,33.95,-0.3,19.2,17.39,-1.81,15.05,16.56,1.5,25.97,25.01,-0.96
H84623,58.67,56.36,-2.31,28.18,28.68,0.5,30.49,27.68,-2.81,51.97,45.21,-6.76
H84625,74.4,51.3,-23.09,38.47,25.66,-12.81,35.92,25.64,-10.28,78.1,45.05,-33.06
H84630,80.67,80.61,-0.07,54.19,53.09,-1.1,26.48,27.51,1.03,73.75,73.24,-0.51
H84635,67.21,60.89,-6.31,29.45,26.75,-2.7,37.76,34.14,-3.62,50.2,44.78,-5.42
H84639,51.75,33.82,-17.93,26.95,18.31,-8.64,24.8,15.5,-9.3,54.72,47.46,-7.26
H85001,49.76,49.35,-0.4,24.82,25.41,0.6,24.94,23.94,-1.0,35.9,44.29,8.38
H85002,65.04,53.55,-11.49,38.72,34.88,-3.84,26.32,18.67,-7.65,59.06,48.23,-10.82
H85003,66.33,73.34,7.01,39.49,37.08,-2.4,26.84,36.25,9.41,63.31,67.97,4.66
H85006,78.54,81.68,3.13,47.77,58.72,10.95,30.78,22.96,-7.82,76.52,83.6,7.08
H85007,81.15,81.19,0.04,47.25,42.71,-4.54,33.9,38.48,4.58,76.23,70.28,-5.95
H85008,56.19,54.96,-1.24,27.82,26.08,-1.74,28.37,28.88,0.51,53.03,49.98,-3.05
H85009,63.29,54.31,-8.98,30.53,24.21,-6.32,32.76,30.1,-2.66,50.21,54.88,4.67
H85011,45.33,43.36,-1.97,26.42,25.25,-1.17,18.91,18.11,-0.8,33.4,32.3,-1.1
H85012,60.42,62.36,1.95,26.34,28.34,1.99,34.07,34.02,-0.05,51.23,53.02,1.79
H85018,65.09,56.02,-9.07,39.42,30.89,-8.53,25.67,25.13,-0.54,58.99,52.55,-6.44
H85020,43.27,62.27,18.99,26.84,39.89,13.05,16.43,22.38,5.94,34.29,58.36,24.08
H85021,30.78,20.92,-9.86,12.88,9.93,-2.95,17.89,10.99,-6.91,31.96,17.23,-14.73
H85022,59.16,57.38,-1.77,34.74,25.82,-8.92,24.42,31.57,7.15,49.16,39.48,-9.68
H85023,57.3,53.91,-3.39,19.84,21.2,1.35,37.45,32.71,-4.74,50.72,48.72,-2.0
H85024,51.6,50.94,-0.66,25.09,25.56,0.47,26.51,25.38,-1.13,42.82,42.82,0.0
H85025,56.63,53.58,-3.06,36.13,36.1,-0.03,20.51,17.48,-3.03,57.27,56.56,-0.71
H85026,58.9,59.01,0.11,32.81,30.13,-2.68,26.09,28.88,2.79,48.23,48.9,0.67
H85027,77.95,70.71,-7.24,47.6,37.69,-9.91,30.36,33.02,2.67,74.71,65.71,-9.0
H85028,52.07,50.58,-1.49,19.8,20.17,0.37,32.27,30.41,-1.86,37.29,32.05,-5.24
H85029,54.31,64.86,10.55,35.55,35.18,-0.38,18.76,29.68,10.93,49.05,58.7,9.65
H85030,73.26,67.93,-5.34,31.63,29.2,-2.42,41.64,38.72,-2.91,63.67,65.29,1.62
H85031,47.63,52.33,4.71,17.45,21.74,4.29,30.18,30.6,0.42,27.43,36.75,9.33
H85033,76.12,49.61,-26.51,37.22,26.38,-10.83,38.9,23.23,-15.67,65.09,35.33,-29.76
H85037,64.18,64.81,0.63,29.49,30.17,0.68,34.68,34.63,-0.05,55.66,57.85,2.19
H85038,79.43,78.48,-0.95,56.34,56.25,-0.09,23.09,22.23,-0.86,76.76,77.01,0.24
H85041,57.98,42.09,-15.9,34.39,23.41,-10.98,23.6,18.68,-4.92,48.62,36.94,-11.69
H85045,61.79,59.72,-2.07,30.73,24.02,-6.72,31.06,35.71,4.65,55.11,51.65,-3.46
H85047,64.61,62.23,-2.38,28.31,23.4,-4.91,36.3,38.83,2.53,60.71,65.76,5.05
H85048,40.64,38.75,-1.89,15.63,15.56,-0.07,25.01,23.19,-1.82,47.18,46.54,-0.65
H85049,51.3,45.89,-5.4,23.91,18.41,-5.5,27.39,27.49,0.1,37.96,29.95,-8.01
H85051,71.0,71.61,0.61,37.36,42.13,4.77,33.64,29.49,-4.16,65.95,69.32,3.37
H85052,56.65,58.23,1.58,27.68,31.32,3.64,28.97,26.91,-2.06,41.68,46.0,4.31
H85053,59.74,59.55,-0.19,23.96,23.01,-0.95,35.77,36.54,0.76,51.46,50.54,-0.92
H85055,61.35,58.39,-2.96,33.36,32.94,-0.42,27.99,25.45,-2.54,52.39,48.14,-4.25
H85057,41.16,49.17,8.01,14.46,23.99,9.54,26.7,25.18,-1.52,29.15,51.26,22.1
H85061,66.83,88.53,21.7,31.68,44.87,13.19,35.15,43.66,8.51,53.54,87.83,34.29
H85063,66.24,68.81,2.57,32.72,34.51,1.8,33.52,34.29,0.78,61.63,60.71,-0.92
H85065,68.43,66.39,-2.04,42.06,38.92,-3.14,26.37,27.47,1.1,68.49,77.05,8.55
H85066,42.58,42.81,0.23,18.87,18.29,-0.58,23.71,24.52,0.81,27.49,27.51,0.02
H85067,43.47,48.04,4.56,25.69,27.97,2.27,17.78,20.07,2.29,34.27,39.61,5.34
H85069,51.69,56.5,4.81,23.84,22.97,-0.87,27.85,33.53,5.68,37.8,38.33,0.53
H85070,35.3,38.24,2.94,15.65,16.81,1.16,19.65,21.43,1.78,25.05,28.07,3.03
H85075,34.07,28.86,-5.22,17.65,15.51,-2.14,16.42,13.34,-3.08,42.61,39.44,-3.17
H85076,55.76,58.14,2.37,35.28,30.61,-4.67,20.49,27.53,7.04,51.9,54.01,2.11
H85077,48.85,42.35,-6.5,27.86,20.23,-7.63,20.99,22.12,1.13,45.47,35.91,-9.55
H85078,57.52,60.04,2.51,30.97,31.97,1.01,26.56,28.07,1.51,47.44,50.67,3.23
H85082,72.12,56.64,-15.48,33.01,25.81,-7.2,39.11,30.83,-8.28,67.28,84.86,17.58
H85087,72.92,68.94,-3.97,33.39,33.49,0.1,39.53,35.46,-4.07,73.4,75.26,1.86
H85088,52.26,48.82,-3.44,27.42,32.77,5.35,24.84,16.05,-8.79,57.43,49.58,-7.84
H85090,69.12,70.86,1.74,35.48,33.44,-2.04,33.63,37.42,3.79,60.8,61.98,1.18
H85092,61.55,65.34,3.79,45.45,48.22,2.77,16.1,17.11,1.02,91.63,86.96,-4.67
H85095,46.32,41.97,-4.35,19.34,16.71,-2.63,26.98,25.25,-1.72,54.82,47.93,-6.89
H85100,36.54,35.81,-0.72,21.28,19.8,-1.48,15.25,16.01,0.76,47.65,48.37,0.72
H85101,98.89,90.04,-8.85,74.42,69.93,-4.49,24.48,20.11,-4.36,99.42,92.64,-6.78
H85103,58.45,51.1,-7.35,26.22,17.74,-8.47,32.23,33.36,1.12,53.47,36.39,-17.08
H85105,48.42,50.49,2.07,30.43,30.5,0.08,17.99,19.99,1.99,45.34,49.84,4.5
H85110,73.41,72.93,-0.48,27.06,33.31,6.26,46.35,39.62,-6.73,66.32,67.53,1.22
H85111,46.23,35.56,-10.67,20.92,16.08,-4.84,25.31,19.48,-5.82,42.17,41.49,-0.68
H85112,67.32,64.13,-3.19,30.17,35.03,4.86,37.16,29.1,-8.06,61.73,63.42,1.68
H85113,45.31,46.93,1.62,17.77,22.25,4.48,27.54,24.68,-2.86,32.54,36.83,4.28
H85114,65.14,74.8,9.66,47.4,45.72,-1.68,17.75,29.08,11.34,66.58,80.84,14.26
H85115,47.4,35.97,-11.42,22.95,19.41,-3.55,24.45,16.57,-7.88,36.45,38.2,1.75
H85116,47.15,37.77,-9.39,17.8,13.36,-4.44,29.36,24.41,-4.94,34.94,26.52,-8.42
H85618,32.86,32.86,0.0,14.27,20.08,5.81,18.59,12.78,-5.81,23.67,29.99,6.31
H85634,58.02,37.95,-20.07,34.77,19.24,-15.53,23.26,18.71,-4.55,51.66,25.44,-26.22
H85637,36.78,27.81,-8.97,24.18,17.81,-6.36,12.61,10.0,-2.61,27.9,22.86,-5.04
H85649,49.1,58.71,9.61,20.82,28.33,7.51,28.28,30.38,2.1,31.02,45.0,13.99
H85653,69.22,51.61,-17.6,31.95,21.83,-10.12,37.27,29.78,-7.49,74.44,49.85,-24.59
H85656,51.17,74.07,22.9,21.47,49.61,28.15,29.7,24.45,-5.25,36.01,79.32,43.31
H85659,49.83,53.05,3.22,32.02,30.19,-1.83,17.82,22.87,5.05,41.53,46.74,5.22
H85662,51.87,56.1,4.22,24.29,26.04,1.75,27.59,30.06,2.47,39.68,45.34,5.66
H85664,99.19,55.94,-43.25,79.13,38.75,-40.38,20.06,17.19,-2.88,99.19,46.79,-52.4
H85680,71.75,72.1,0.35,40.12,38.12,-2.0,31.63,33.98,2.35,62.19,67.0,4.81
H85682,57.3,66.94,9.64,35.5,39.52,4.02,21.8,27.42,5.62,47.71,59.61,11.9
H85683,100.0,99.18,-0.82,54.13,56.51,2.37,45.87,42.67,-3.19,100.0,100.0,0.0
H85686,75.02,62.31,-12.71,55.02,43.71,-11.31,20.0,18.6,-1.4,72.61,63.24,-9.37
H85693,77.29,79.37,2.08,40.77,40.15,-0.61,36.53,39.22,2.69,68.5,74.55,6.05
J81002,91.8,81.12,-10.68,36.11,32.26,-3.84,55.69,48.85,-6.84,87.07,68.99,-18.09
J81006,81.47,56.24,-25.23,45.96,30.66,-15.3,35.51,25.57,-9.93,82.75,83.88,1.13
J81009,90.64,61.41,-29.23,23.16,15.17,-7.99,67.48,46.24,-21.24,98.78,69.89,-28.88
J81010,61.83,67.04,5.21,21.78,28.7,6.92,40.05,38.34,-1.71,55.74,73.24,17.5
J81011,93.49,55.15,-38.35,47.56,29.05,-18.51,45.93,26.1,-19.84,93.03,69.56,-23.46
J81012,56.46,41.31,-15.14,28.69,20.16,-8.53,27.76,21.15,-6.61,62.47,64.34,1.87
J81013,76.32,79.47,3.14,16.59,16.52,-0.07,59.74,62.95,3.21,53.35,65.35,12.0
J81014,60.64,39.66,-20.99,21.55,11.9,-9.65,39.1,27.75,-11.34,46.58,30.86,-15.72
J81016,74.46,71.9,-2.57,44.43,38.22,-6.21,30.04,33.68,3.64,74.36,66.6,-7.76
J81017,95.9,89.35,-6.55,42.86,39.38,-3.49,53.04,49.97,-3.07,96.76,95.71,-1.05
J81018,86.71,80.92,-5.78,49.35,50.82,1.47,37.36,30.11,-7.25,84.24,78.17,-6.08
J81019,67.85,69.93,2.07,18.58,19.21,0.62,49.27,50.72,1.45,72.65,77.39,4.75
J81020,73.92,74.08,0.17,17.76,17.63,-0.13,56.16,56.45,0.3,47.4,47.8,0.4
J81021,89.41,85.49,-3.92,41.72,40.83,-0.89,47.69,44.66,-3.03,88.87,80.74,-8.12
J81022,70.48,66.89,-3.59,32.69,29.05,-3.63,37.79,37.83,0.04,87.95,84.4,-3.55
J81025,89.72,55.35,-34.37,42.84,26.76,-16.09,46.88,28.59,-18.28,85.6,62.01,-23.59
J81027,90.88,76.1,-14.78,53.58,38.37,-15.2,37.31,37.73,0.42,99.74,75.87,-23.87
J81028,57.18,43.93,-13.25,12.22,10.96,-1.26,44.96,32.97,-11.99,28.02,38.48,10.46
J81029,71.83,61.64,-10.18,30.95,19.28,-11.66,40.88,42.36,1.48,81.97,64.72,-17.25
J81030,60.15,61.44,1.29,19.23,22.97,3.74,40.91,38.46,-2.45,76.07,72.08,-3.99
J81033,83.5,48.16,-35.34,44.46,21.93,-22.54,39.03,26.23,-12.8,77.98,53.22,-24.76
J81034,89.25,79.97,-9.29,33.57,21.17,-12.39,55.68,58.79,3.11,83.26,69.2,-14.06
J81035,79.14,70.1,-9.04,40.7,33.47,-7.22,38.45,36.63,-1.82,81.22,68.05,-13.17
J81036,68.3,58.7,-9.6,30.41,36.78,6.37,37.89,21.92,-15.98,55.79,65.01,9.22
J81039,60.61,34.58,-26.03,22.78,16.35,-6.43,37.83,18.23,-19.6,38.06,29.08,-8.97
J81041,75.88,78.39,2.51,41.47,40.16,-1.32,34.41,38.24,3.83,71.98,77.58,5.6
J81042,63.4,56.09,-7.32,31.5,18.68,-12.82,31.9,37.4,5.5,49.28,33.85,-15.42
J81045,84.16,72.3,-11.86,34.32,27.13,-7.19,49.84,45.17,-4.67,84.45,68.83,-15.62
J81046,58.19,50.14,-8.05,21.73,16.13,-5.6,36.46,34.01,-2.45,39.24,32.03,-7.21
J81047,61.95,47.9,-14.05,12.59,15.42,2.83,49.36,32.48,-16.88,64.47,50.91,-13.55
J81049,41.74,48.77,7.03,11.59,12.13,0.54,30.15,36.64,6.49,35.94,42.28,6.35
J81051,75.83,64.32,-11.51,20.99,22.45,1.46,54.84,41.87,-12.97,77.03,84.95,7.93
J81053,65.53,69.46,3.93,22.33,25.69,3.35,43.2,43.78,0.58,55.35,58.35,3.0
J81056,78.94,71.8,-7.14,15.35,16.0,0.65,63.59,55.8,-7.79,65.99,71.99,6.0
J81057,90.77,48.19,-42.58,57.13,33.22,-23.91,33.64,14.97,-18.67,99.94,58.1,-41.84
J81058,62.3,65.41,3.12,30.78,34.69,3.92,31.52,30.72,-0.8,66.37,64.18,-2.19
J81059,86.58,57.36,-29.23,47.81,24.53,-23.28,38.77,32.82,-5.95,96.06,46.53,-49.53
J81061,78.38,75.89,-2.49,40.53,41.36,0.83,37.85,34.54,-3.32,81.42,78.69,-2.73
J81062,87.03,80.25,-6.78,29.98,29.66,-0.31,57.05,50.58,-6.47,73.96,68.84,-5.12
J81064,70.13,59.98,-10.15,39.1,34.78,-4.32,31.03,25.19,-5.83,67.2,68.63,1.43
J81066,51.08,63.21,12.13,8.13,20.55,12.42,42.94,42.65,-0.29,16.13,46.11,29.99
J81067,56.78,59.88,3.1,13.13,13.94,0.8,43.65,45.94,2.29,34.65,42.34,7.69
J81068,82.65,56.26,-26.39,38.58,22.55,-16.03,44.07,33.7,-10.36,75.11,68.66,-6.45
J81070,77.72,59.3,-18.42,24.78,17.31,-7.47,52.94,41.99,-10.96,60.07,44.58,-15.49
J81072,74.5,41.05,-33.45,43.51,13.78,-29.73,31.0,27.27,-3.72,65.21,19.71,-45.5
J81073,58.78,64.57,5.79,27.58,31.14,3.56,31.2,33.43,2.23,48.33,55.13,6.79
J81074,80.03,82.91,2.88,27.98,30.29,2.31,52.05,52.63,0.58,92.11,84.66,-7.45
J81075,54.69,46.6,-8.1,10.91,8.55,-2.36,43.79,38.05,-5.74,79.11,70.54,-8.57
J81076,93.2,93.35,0.15,23.95,16.53,-7.42,69.25,76.82,7.57,98.09,98.28,0.19
J81077,75.43,79.9,4.47,30.61,28.76,-1.85,44.82,51.13,6.32,83.66,89.17,5.51
J81078,46.48,71.85,25.38,19.56,24.21,4.65,26.91,47.64,20.72,62.05,78.11,16.07
J81081,86.4,77.85,-8.55,38.89,26.8,-12.09,47.5,51.04,3.54,96.86,71.22,-25.64
J81082,90.22,65.44,-24.78,52.82,28.34,-24.49,37.4,37.1,-0.29,86.68,47.15,-39.53
J81086,75.89,72.84,-3.06,46.89,44.68,-2.21,29.01,28.16,-0.85,67.46,64.25,-3.22
J81087,73.1,75.97,2.87,24.85,33.08,8.24,48.26,42.89,-5.37,76.23,76.97,0.74
J81609,76.95,62.95,-14.0,33.43,30.43,-3.0,43.51,32.52,-11.0,83.66,53.49,-30.17
J81612,98.38,97.31,-1.08,49.53,49.02,-0.51,48.85,48.29,-0.56,99.7,96.74,-2.96
J81616,77.04,74.49,-2.55,38.6,35.93,-2.67,38.44,38.57,0.12,63.86,61.04,-2.81
J81620,57.05,40.42,-16.63,16.21,14.37,-1.84,40.84,26.05,-14.79,58.83,61.0,2.17
J81621,70.91,61.94,-8.97,32.01,32.03,0.01,38.9,29.92,-8.98,70.58,76.45,5.87
J81625,40.34,55.74,15.4,16.55,14.01,-2.55,23.79,41.74,17.95,46.81,41.75,-5.06
J81626,77.21,73.32,-3.89,36.67,33.31,-3.35,40.55,40.01,-0.54,69.59,66.6,-2.99
J81631,65.38,58.67,-6.71,37.79,20.18,-17.61,27.58,38.49,10.9,57.14,78.48,21.33
J81633,45.85,58.85,13.0,23.94,25.46,1.52,21.91,33.39,11.48,61.21,59.75,-1.46
J81634,59.01,57.63,-1.38,26.6,21.97,-4.63,32.42,35.66,3.24,68.54,60.34,-8.2
J81646,58.0,48.36,-9.63,11.13,11.97,0.84,46.86,36.39,-10.47,40.21,42.01,1.8
J81647,90.18,91.85,1.67,25.53,24.95,-0.58,64.65,66.91,2.26,97.79,97.89,0.1
J81648,68.12,51.1,-17.02,27.17,21.34,-5.84,40.95,29.76,-11.18,48.14,48.23,0.09
J82001,78.05,85.88,7.84,31.22,36.7,5.48,46.82,49.18,2.36,67.43,80.86,13.43
J82002,35.87,39.47,3.6,14.08,12.92,-1.16,21.79,26.55,4.76,20.83,21.15,0.32
J82005,71.23,68.56,-2.68,25.85,22.8,-3.05,45.39,45.76,0.37,68.23,63.25,-4.98
J82007,67.33,65.51,-1.82,31.55,31.31,-0.24,35.77,34.19,-1.58,65.32,78.86,13.54
J82009,84.08,44.85,-39.23,53.86,17.18,-36.68,30.22,27.67,-2.55,92.82,28.62,-64.21
J82010,65.5,68.47,2.97,22.28,24.1,1.82,43.23,44.37,1.14,49.23,58.1,8.86
J82012,46.51,48.78,2.26,14.31,15.04,0.73,32.2,33.74,1.54,25.54,29.74,4.2
J82015,55.07,57.88,2.82,23.71,19.59,-4.12,31.36,38.3,6.94,66.35,59.67,-6.68
J82016,82.11,80.52,-1.6,52.98,50.43,-2.55,29.14,30.09,0.95,80.46,79.38,-1.08
J82017,47.29,49.3,2.01,26.07,23.42,-2.65,21.22,25.88,4.66,36.94,36.0,-0.94
J82018,98.66,97.51,-1.16,51.88,39.3,-12.58,46.78,58.2,11.42,97.77,95.52,-2.25
J82019,66.06,70.13,4.07,36.03,32.26,-3.77,30.03,37.87,7.85,69.05,67.52,-1.53
J82020,0.0,71.31,71.31,0.0,34.6,34.6,0.0,36.71,36.71,0.0,97.37,97.37
J82021,46.2,29.31,-16.89,14.01,6.65,-7.36,32.19,22.67,-9.52,47.18,24.3,-22.88
J82024,46.5,44.7,-1.8,12.89,13.24,0.35,33.61,31.46,-2.15,40.28,31.35,-8.94
J82025,61.49,70.52,9.02,28.67,34.22,5.54,32.82,36.3,3.48,48.63,62.97,14.35
J82026,79.7,64.53,-15.18,23.99,23.06,-0.92,55.71,41.46,-14.25,68.14,65.78,-2.36
J82028,47.63,49.87,2.24,17.49,15.49,-2.0,30.13,34.38,4.24,32.69,27.9,-4.8
J82033,69.19,68.08,-1.11,33.11,23.71,-9.41,36.08,44.37,8.3,64.05,46.8,-17.25
J82034,65.15,67.89,2.74,30.93,31.71,0.78,34.22,36.18,1.97,94.1,95.02,0.92
J82035,41.07,51.19,10.12,19.63,23.29,3.66,21.44,27.9,6.46,28.43,40.05,11.61
J82036,50.22,43.51,-6.71,21.22,9.49,-11.73,29.01,34.02,5.02,31.14,17.28,-13.86
J82039,39.03,34.4,-4.63,12.26,12.02,-0.24,26.77,22.38,-4.39,28.19,24.52,-3.67
J82040,75.95,78.78,2.83,31.24,37.84,6.6,44.71,40.94,-3.77,80.15,80.76,0.61
J82042,59.87,56.13,-3.73,25.96,26.34,0.38,33.91,29.8,-4.11,52.14,67.06,14.92
J82049,49.71,43.88,-5.83,19.56,12.51,-7.05,30.15,31.37,1.22,34.83,25.16,-9.67
J82050,42.88,56.69,13.81,11.48,20.13,8.65,31.4,36.56,5.16,22.01,41.29,19.28
J82051,44.96,41.16,-3.8,8.21,20.05,11.84,36.76,21.11,-15.64,44.83,29.58,-15.25
J82053,35.27,36.52,1.25,9.93,12.04,2.11,25.34,24.48,-0.86,19.37,26.66,7.29
J82054,57.25,56.73,-0.51,36.44,32.31,-4.13,20.81,24.42,3.62,50.83,49.23,-1.59
J82055,59.83,54.28,-5.55,26.39,27.89,1.5,33.44,26.39,-7.05,44.71,40.38,-4.33
J82056,84.89,81.45,-3.43,37.84,32.89,-4.95,47.05,48.56,1.52,77.67,72.47,-5.2
J82058,51.79,56.76,4.97,22.54,21.83,-0.71,29.25,34.93,5.69,40.24,45.88,5.64
J82059,81.9,79.76,-2.14,41.29,39.69,-1.6,40.61,40.07,-0.54,70.98,67.28,-3.69
J82060,45.43,32.49,-12.94,13.77,11.06,-2.71,31.67,21.44,-10.23,69.57,53.69,-15.88
J82061,50.17,46.13,-4.04,14.5,12.8,-1.7,35.67,33.33,-2.34,37.66,27.15,-10.51
J82062,99.89,96.42,-3.46,64.41,63.41,-1.0,35.47,33.01,-2.46,99.85,96.47,-3.38
J82064,70.18,83.21,13.02,33.12,42.21,9.09,37.06,41.0,3.93,59.4,85.81,26.42
J82066,36.59,31.27,-5.32,9.22,8.66,-0.56,27.37,22.61,-4.76,23.48,23.03,-0.45
J82067,56.74,62.69,5.95,21.29,22.48,1.19,35.45,40.21,4.76,41.32,47.09,5.77
J82069,58.59,52.05,-6.55,34.2,32.02,-2.19,24.39,20.03,-4.36,56.64,51.27,-5.37
J82071,84.21,74.25,-9.96,43.27,33.5,-9.77,40.94,40.75,-0.19,74.83,65.03,-9.79
J82072,86.01,85.29,-0.71,30.39,31.54,1.15,55.62,53.76,-1.86,82.6,75.49,-7.11
J82073,85.07,53.87,-31.2,48.48,24.83,-23.65,36.59,29.05,-7.55,97.52,37.46,-60.06
J82074,64.45,64.6,0.14,31.21,33.31,2.1,33.24,31.29,-1.95,51.19,54.35,3.16
J82075,68.77,80.46,11.7,31.57,38.82,7.25,37.2,41.65,4.44,55.01,82.72,27.71
