gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
C82038,53.39,53.21,-0.18,17.1,18.79,1.69,36.29,34.42,-1.87,77.0,69.49,-7.5
C82039,88.03,74.96,-13.07,35.43,26.86,-8.57,52.6,48.1,-4.5,78.83,66.71,-12.11
C82040,73.06,74.17,1.11,41.41,42.7,1.3,31.65,31.46,-0.19,72.37,75.0,2.62
C82041,71.89,79.13,7.24,29.64,29.08,-0.57,42.25,50.06,7.81,56.33,67.04,10.71
C82042,56.56,54.42,-2.14,29.5,27.34,-2.16,27.05,27.07,0.02,44.5,45.24,0.75
C82043,71.65,72.74,1.09,28.17,29.12,0.95,43.49,43.62,0.14,59.53,59.03,-0.5
C82044,63.04,56.06,-6.98,27.35,24.17,-3.18,35.69,31.89,-3.81,73.85,57.86,-16.0
C82045,87.21,66.04,-21.17,36.15,26.2,-9.95,51.06,39.84,-11.22,97.15,70.35,-26.79
C82046,57.28,52.84,-4.45,21.79,17.22,-4.57,35.5,35.62,0.12,57.86,47.56,-10.29
C82047,63.95,73.78,9.83,6.98,7.12,0.14,56.97,66.65,9.69,28.88,38.7,9.81
C82048,73.42,77.78,4.35,43.18,52.99,9.81,30.24,24.79,-5.46,78.55,92.37,13.82
C82050,49.51,53.52,4.0,9.99,12.33,2.35,39.53,41.18,1.66,36.81,43.59,6.78
C82051,71.6,68.6,-2.99,36.03,26.58,-9.45,35.57,42.03,6.46,98.14,86.13,-12.01
C82052,93.71,87.31,-6.4,42.48,33.23,-9.24,51.23,54.08,2.85,96.14,94.78,-1.36
C82053,70.45,71.94,1.5,30.01,27.21,-2.79,40.44,44.73,4.29,60.52,61.01,0.49
C82054,44.38,47.08,2.69,12.23,22.02,9.79,32.15,25.05,-7.1,29.26,55.1,25.84
C82055,92.43,91.68,-0.75,32.15,33.41,1.26,60.27,58.27,-2.01,98.51,96.02,-2.49
C82056,65.42,70.41,4.99,22.62,29.21,6.59,42.8,41.2,-1.6,58.52,63.23,4.7
C82059,72.89,62.98,-9.91,42.6,28.3,-14.3,30.29,34.68,4.39,99.86,75.88,-23.98
C82060,73.3,82.05,8.75,36.53,42.99,6.47,36.77,39.05,2.28,66.21,93.87,27.66
C82061,42.88,65.26,22.39,8.86,19.25,10.39,34.02,46.02,12.0,17.4,52.64,35.24
C82062,47.43,47.01,-0.42,9.6,12.95,3.35,37.82,34.05,-3.77,24.06,32.92,8.86
C82063,54.47,67.71,13.25,9.79,15.99,6.21,44.68,51.72,7.04,24.45,46.23,21.78
C82064,82.35,67.61,-14.74,41.97,29.46,-12.51,40.38,38.16,-2.23,88.75,67.7,-21.04
C82066,87.48,84.07,-3.41,41.03,40.59,-0.44,46.45,43.48,-2.97,86.03,81.47,-4.56
C82067,52.96,36.04,-16.92,27.23,21.49,-5.74,25.73,14.55,-11.18,59.03,54.06,-4.98
C82068,71.39,69.24,-2.15,24.25,23.65,-0.6,47.14,45.6,-1.54,66.63,72.09,5.46
C82070,79.1,63.84,-15.26,19.55,21.4,1.85,59.55,42.44,-17.11,58.93,57.32,-1.61
C82071,81.68,71.8,-9.88,34.7,32.84,-1.87,46.98,38.97,-8.01,93.56,94.17,0.61
C82072,58.53,58.9,0.37,13.45,14.61,1.16,45.08,44.29,-0.79,36.99,39.69,2.7
C82073,87.79,91.37,3.58,27.03,38.9,11.87,60.76,52.46,-8.3,99.5,99.34,-0.16
C82075,78.42,72.89,-5.53,26.59,24.84,-1.75,51.83,48.05,-3.78,64.0,61.89,-2.12
C82076,70.29,67.89,-2.4,21.35,17.94,-3.4,48.95,49.95,1.0,72.5,83.28,10.77
C82077,63.33,51.19,-12.14,16.72,14.54,-2.18,46.61,36.65,-9.97,47.59,41.01,-6.58
C82078,88.91,88.92,0.01,33.54,31.72,-1.81,55.37,57.19,1.82,79.52,86.84,7.32
C82079,55.08,49.63,-5.45,17.34,16.6,-0.74,37.74,33.02,-4.72,39.42,35.57,-3.85
C82080,71.26,77.34,6.08,41.59,42.71,1.12,29.67,34.63,4.96,59.61,93.1,33.49
C82082,85.17,61.86,-23.31,26.67,9.6,-17.07,58.5,52.26,-6.24,94.94,32.57,-62.38
C82084,54.1,65.27,11.17,30.47,37.31,6.85,23.63,27.96,4.32,53.84,72.77,18.94
C82086,84.26,88.47,4.21,39.36,39.08,-0.28,44.9,49.39,4.49,79.8,80.76,0.97
C82088,92.13,78.56,-13.58,53.1,63.67,10.57,39.03,14.89,-24.15,96.35,98.43,2.08
C82091,88.75,83.16,-5.59,33.31,42.67,9.36,55.44,40.49,-14.95,91.65,87.06,-4.58
C82092,38.12,46.83,8.71,11.54,14.76,3.22,26.58,32.07,5.49,26.58,35.07,8.49
C82093,80.98,79.88,-1.1,32.66,38.9,6.23,48.32,40.99,-7.33,83.19,89.82,6.63
C82094,76.23,80.37,4.14,21.6,28.0,6.4,54.63,52.37,-2.26,60.79,73.07,12.28
C82095,91.18,91.64,0.45,47.21,46.04,-1.17,43.97,45.6,1.62,94.78,93.56,-1.22
C82096,76.67,79.46,2.79,26.11,43.43,17.32,50.56,36.04,-14.53,61.79,78.01,16.22
C82097,66.48,74.43,7.95,26.84,29.36,2.53,39.65,45.07,5.42,69.28,77.7,8.42
C82098,83.12,83.11,-0.01,30.83,29.07,-1.76,52.29,54.04,1.75,69.7,72.17,2.46
C82099,81.12,58.5,-22.63,52.24,24.73,-27.51,28.88,33.76,4.88,75.57,77.3,1.74
C82100,55.74,55.72,-0.02,19.72,21.3,1.58,36.02,34.42,-1.6,40.82,46.35,5.53
C82102,55.83,60.62,4.79,22.65,25.65,3.0,33.18,34.97,1.79,37.33,46.93,9.6
C82103,79.79,80.1,0.31,30.1,37.84,7.74,49.69,42.26,-7.44,84.88,80.07,-4.8
C82107,80.34,76.76,-3.59,32.55,35.2,2.65,47.79,41.55,-6.24,68.82,61.83,-6.99
C82109,88.51,86.72,-1.79,37.12,31.42,-5.7,51.39,55.31,3.91,83.6,89.93,6.33
C82111,80.14,69.02,-11.12,34.8,25.1,-9.7,45.33,43.91,-1.42,92.88,65.83,-27.05
C82112,76.07,49.06,-27.01,34.75,24.82,-9.93,41.32,24.24,-17.08,72.98,51.1,-21.88
C82114,96.35,76.19,-20.16,53.17,23.6,-29.57,43.19,52.6,9.41,99.05,65.14,-33.91
C82116,65.04,79.91,14.87,30.5,21.14,-9.35,34.54,58.76,24.22,79.85,90.67,10.82
C82119,84.01,43.85,-40.16,52.43,23.76,-28.67,31.58,20.09,-11.49,88.83,32.91,-55.92
C82120,88.58,78.33,-10.25,24.07,18.63,-5.45,64.51,59.71,-4.8,85.97,72.08,-13.89
C82121,77.63,71.53,-6.1,30.43,27.26,-3.17,47.21,44.28,-2.93,62.85,63.46,0.61
C82124,80.16,76.07,-4.09,61.28,60.73,-0.55,18.88,15.34,-3.54,89.58,89.49,-0.09
C82600,99.7,99.63,-0.08,50.13,47.93,-2.19,49.58,51.69,2.12,99.75,99.41,-0.33
