gp_code,sat_24,cont_24,n_24,sat_25,cont_25,n_25,sd_24,oc_24,sd_25,oc_25,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,d_sat,d_cont,d_sd,d_oc,w
A84044,70.1649728088806,28.9051224346064,108.0,62.1207114,20.2289933,115.0,41.31031109787994,67.27520797806245,41.022788148514444,72.5253800060173,0.0,23.13,8.88175528320345,13.066243792436886,6.037526187538342,7.519127708031901,0.0,1.0,NORTH EAST AND YORKSHIRE,-8.044261408880608,-8.676129134606402,-0.2875229493654956,5.2501720279548465,108.0
A84045,89.4401012679103,68.1933368223568,113.0,85.7905979,45.3519799,104.0,35.45469912102772,17.662995469136874,33.53696741854637,9.342915671569711,1.0,20.38,8.572028538654845,18.189643746174,4.695339370799281,9.794578903789722,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.649503367910299,-22.841356922356795,-1.9177317024813547,-8.320079797567162,104.0
A84047,92.8110780661048,40.1379683662618,118.0,83.8508243,35.1463204,117.0,34.2902615537071,18.786386786325092,29.18689515480822,21.14744695692625,1.0,11.37,8.587977790134198,19.14106923929753,4.571357588857316,1.490660082917967,0.0,1.0,NORTH EAST AND YORKSHIRE,-8.960253766104799,-4.991647966261802,-5.103366398898878,2.3610601706011565,117.0
A84604,91.34437339563401,69.8538829156744,121.0,89.7138369,81.8943631,122.0,32.37002289607416,7.001137810518228,33.72531367805097,6.973104457152611,1.0,21.77,8.484721651269275,27.56111082278808,3.525988672072723,4.187111545891225,0.0,1.0,NORTH EAST AND YORKSHIRE,-1.6305364956340043,12.040480184325602,1.3552907819768123,-0.02803335336561652,121.0
A84619,87.59998109001191,64.74204934719549,123.0,89.2977162,41.0833072,117.0,37.940693158051985,12.317656186163097,35.83267561168114,10.209329920990385,1.0,19.76,8.348320787946287,11.75507626576159,7.451111942695898,0.0,0.0,0.0,NORTH EAST AND YORKSHIRE,1.6977351099880877,-23.65874214719549,-2.1080175463708457,-2.108326265172712,117.0
A88001,70.7955424049227,37.6612834924888,137.0,68.13876,37.6149871,135.0,49.21864066800392,126.68077389834252,44.43374422187981,157.67294494113818,0.0,26.27,8.206356212386856,14.555378669092566,3.7843984516715934,5.094382531726177,0.0,0.0,NORTH EAST AND YORKSHIRE,-2.6567824049226942,-0.04629639248879869,-4.784896446124108,30.99217104279566,135.0
A88002,79.0469725401876,40.161873990935696,161.0,71.9857038,38.432677,124.0,49.65904572564612,33.19249923845772,47.39608788678549,38.20779548307545,0.0,36.63,9.741635067581514,11.587569071599328,11.584433906415333,1.0032527330799077,0.0,0.0,NORTH EAST AND YORKSHIRE,-7.0612687401876,-1.729196990935698,-2.262957838860636,5.01529624461773,124.0
A88003,84.3602423880122,40.2197942589323,114.0,93.2886096,36.715160499999996,92.0,33.92974461482548,13.06923513640192,34.13022863765673,14.650530971167944,0.0,31.67,10.003268782887083,12.189740669198253,7.686767250992712,5.068198187666631,1.0,0.0,NORTH EAST AND YORKSHIRE,8.928367211987805,-3.5046337589323073,0.20048402283124744,1.5812958347660242,92.0
A88004,56.9948357478492,21.5558625717474,138.0,59.681752200000005,22.5229961,152.0,45.21712723959915,29.851133230996997,45.90211950154436,31.830082207013778,0.0,31.63,9.118371271212778,14.802514252667738,8.69755883715831,6.577985674608975,0.0,0.0,NORTH EAST AND YORKSHIRE,2.686916452150804,0.9671335282525995,0.6849922619452116,1.978948976016781,138.0
A88005,77.4950215268328,43.8584290111391,107.0,70.6212825,51.138392499999995,111.0,41.7941281633626,87.82339735442106,49.4237711746737,82.8529197903033,0.0,39.94,8.405180972520279,10.469408299466837,1.610678199917975,2.6248089198762163,0.0,0.0,NORTH EAST AND YORKSHIRE,-6.873739026832794,7.2799634888608935,7.629643011311103,-4.970477564117758,107.0
A88006,73.4420123664296,47.4733137993073,106.0,87.1287258,40.1016008,80.0,39.248484267535765,9.977698283683898,38.95386315498665,11.048101553118869,0.0,38.93,8.967536058302487,9.96058684259171,9.45065918857762,0.6799035395353284,0.0,0.0,NORTH EAST AND YORKSHIRE,13.686713433570404,-7.371712999307299,-0.29462111254911605,1.070403269434971,80.0
A88008,74.9619826466713,45.5956528162752,120.0,74.5992515,51.477209800000004,128.0,31.727883378590825,20.30195438457469,31.892245023441703,20.98406004121623,0.0,39.79,8.777773814859342,9.08285277712847,8.630765081362942,2.712526168428353,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.3627311466713081,5.881556983724806,0.164361644850878,0.6821056566415429,120.0
A88009,68.9697537011814,39.9966191931603,117.0,85.6232066,48.7343468,115.0,26.5735086895256,8.536545184886382,24.812697922298604,10.579739331254972,0.0,20.31,8.714991583944776,18.01939198391751,4.201140544014879,5.732806368447684,0.0,0.0,NORTH EAST AND YORKSHIRE,16.6534528988186,8.737727606839698,-1.760810767226996,2.04319414636859,115.0
A88010,83.99009020927501,56.905537741608704,132.0,94.57857560000001,69.1593423,112.0,39.60851752566891,30.254608371470496,41.33229628951823,35.56521840977775,0.0,32.04,8.107594552026466,14.941634241245138,11.969373668382076,8.67578762394879,0.0,0.0,NORTH EAST AND YORKSHIRE,10.588485390724998,12.253804558391302,1.7237787638493245,5.310610038307253,112.0
A88012,66.08857989650289,20.9730505199795,127.0,76.8143802,42.3129606,117.0,52.192178429575314,149.53929131854585,53.16699656214189,155.24520727409788,0.0,26.47,8.719031386903112,13.577738734115147,4.794399271033384,2.615126874514772,0.0,0.0,NORTH EAST AND YORKSHIRE,10.72580030349711,21.3399100800205,0.9748181325665755,5.70591595555203,117.0
A88013,79.9463909486673,27.0362603045103,111.0,82.0960189,32.5254398,103.0,51.41189322798848,32.00124883936606,56.665067765206025,32.81138924785276,0.0,31.96,9.859222136238111,13.697919933103377,7.414375805372636,3.135779241141424,0.0,0.0,NORTH EAST AND YORKSHIRE,2.149627951332704,5.489179495489701,5.2531745372175465,0.8101404084866957,103.0
A88014,82.35222809545179,56.0135604465774,94.0,79.1392078,50.6438777,110.0,55.803462570104855,14.862488764603434,63.75339553560883,20.00308870337791,0.0,40.63,7.967482353766346,6.931007595229157,6.099286683801658,6.931007595229157,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.2130202954517983,-5.3696827465774035,7.949932965503976,5.140599938774475,94.0
A88015,70.1781418270199,18.809334469615997,114.0,82.7125433,37.1360314,119.0,43.64941477688369,3.922314263366468,46.01013370237271,6.327908118050263,0.0,39.73,8.905602562734387,5.425800764935916,8.13761613056353,10.162978367051696,0.0,0.0,NORTH EAST AND YORKSHIRE,12.534401472980093,18.326696930384003,2.3607189254890244,2.405593854683795,114.0
A88016,71.2587325307011,30.4783207824879,112.0,88.6826546,40.1042259,114.0,38.09102605339337,14.273047403215289,29.369012223323423,17.42375377275839,0.0,19.66,9.02000680457205,11.513316262978568,6.580512489667547,4.451523154775105,0.0,0.0,NORTH EAST AND YORKSHIRE,17.42392206929891,9.625905117512104,-8.722013830069947,3.1507063695430997,112.0
