gp_code,practice_name,CVDP004HYP,CVDP002HYP,CVDP003HYP,CVDP007HYP,CVDP006HYP,CVDP009HYP,CVDP005HYP,CVDP002AF,CVDP005AF,CVDP004AF,CVDP009CHOL,CVDP011CHOL,CVDP012CHOL,CVDP003CHOL,CVDP006CHOL,CVDP008CHOL,CVDP010CHOL,CVDP004CKD,CVDP006CKD,CVDP005CKD,CVDP007CKD,CVDP003CKD,CVDP002CKD,CVDP003DM,CVDP005DM,CVDP002NDH,CVDP002CHD,CVDP002STRK,CVDP002HF,CVDP001SMOK,CVDP002SMOK,CVDP001BMI
F84115,The Statham Grove Surgery,95.46,78.83,83.33,79.33,,26.81,1.02,82.14,82.14,85.71,85.65,75.22,44.78,68.11,52.33,52.47,71.05,52.63,85.96,76.92,82.98,0.36,0.14,,,0.96,87.82,86.36,,89.47,85.43,58.58
F84117,Queensbridge Group Practice,84.15,62.09,69.87,63.41,,28.09,1.08,85.88,81.18,,83.39,67.75,37.79,64.49,53.76,53.91,73.82,59.69,87.96,68.29,71.26,0.92,0.5,,0.14,1.67,79.49,74.77,,69.38,73.79,46.72
F84118,Wellington Way Health Centre,86.9,72.05,77.78,72.59,,44.1,0.4,86.67,83.33,,94.32,84.66,57.39,82.59,70.21,69.5,76.73,53.46,81.13,78.95,78.52,0.14,,,,0.29,85.04,86.79,,84.13,86.17,75.17
F84119,The Heron Practice,87.02,68.19,87.93,70.08,,60.08,0.84,97.5,97.5,93.75,92.6,88.42,46.95,76.34,58.1,58.24,77.82,69.45,90.91,88.31,79.28,0.32,,0.0,0.11,0.63,88.46,87.27,,90.57,95.44,78.12
F84121,E12 HEALTH,81.67,56.17,77.23,58.96,0.83,31.11,1.0,87.64,86.52,,86.75,82.05,52.14,72.02,63.46,62.64,70.17,34.45,86.97,86.49,66.2,0.77,0.28,0.07,0.37,,72.09,70.86,80.0,62.25,61.22,66.22
F84122,Xx Place Health Centre,92.14,72.47,80.73,73.6,,63.06,1.15,83.04,81.25,,89.34,89.34,54.51,75.57,63.78,63.05,75.23,70.79,94.39,62.5,80.32,0.53,0.31,,0.14,1.51,82.88,83.15,,82.86,84.02,76.98
F84123,Suttons Wharf Health Centre,91.56,78.16,81.18,78.36,,66.99,0.41,93.62,89.36,,91.35,87.98,55.29,77.35,59.87,59.32,77.78,81.82,93.94,76.47,86.78,0.29,0.07,0.05,0.12,0.54,94.41,86.49,,71.58,80.0,72.32
F84124,The Project Surgery,82.48,62.45,92.0,63.95,,26.34,1.74,84.62,84.62,,80.41,72.16,45.36,79.88,67.3,66.53,73.73,39.83,78.81,,85.9,0.82,0.34,,0.36,0.94,84.48,75.68,,77.98,82.69,66.92
F84601,ELSDALE STREET SURGERY,89.43,65.28,95.06,68.16,,66.47,1.06,93.75,93.75,,89.3,83.72,50.7,77.47,58.72,60.19,76.61,86.55,94.15,76.47,83.54,0.61,,,0.23,1.03,84.89,83.33,67.86,83.42,94.39,77.31
F84619,The Riverside Practice,85.48,74.0,93.55,76.48,,34.02,0.58,96.67,96.67,,90.97,80.65,58.06,77.62,62.34,63.93,88.0,70.4,94.4,68.89,83.65,0.63,0.0,0.0,,,88.79,84.21,,81.15,95.08,71.16
F84620,The Wick Health Centre,91.81,75.5,82.88,76.21,,51.94,0.95,96.77,96.77,81.82,89.63,82.22,52.59,66.45,53.36,56.19,80.22,55.68,87.55,90.91,76.03,0.63,0.2,,,1.6,88.3,76.6,,73.28,70.0,71.05
F84621,Sandringham Practice,90.28,74.28,89.74,76.72,,26.67,0.93,85.19,85.19,,89.29,78.57,50.0,73.56,54.85,55.6,69.49,47.46,87.29,,77.08,0.95,0.63,,0.35,2.98,90.0,89.58,,76.72,83.48,75.75
