gp_code,sat_24,cont_24,sat_25,cont_25,sat_26,cont_26,d_sat_25_26,d_cont_25_26,n_25,n_26,deflection_2026,access_satisfaction_2026,pt_same_day_2026,imd_score,rural,region
C82028,80.5039783677188,40.719214219326396,94.2826367,61.9513804,94.9538674907254,67.40254491033009,0.6712307907254029,5.451164510330095,114.0,99.0,2.0122042186085003,90.8561390431463,57.6338459257874,12.62,1.0,MIDLANDS
C87014,86.480614840428,54.492206225546,84.3345321,42.9004799,87.5419964211681,58.265303081031504,3.2074643211680893,15.364823181031504,98.0,133.0,2.21917561780273,80.20797412845741,52.114406454837805,20.33,1.0,NORTH EAST AND YORKSHIRE
E81046,79.6235190503187,37.5544386343111,83.360148,38.1977942,88.4411666599896,22.7321668351751,5.08101865998961,-15.465627364824897,121.0,106.0,6.2505850666926595,81.0513831901191,58.3908980005302,10.23,1.0,EAST OF ENGLAND
E81047,81.4943188329105,24.9311535506536,67.99188670000001,29.5382585,70.5274551199426,11.0186152654396,2.5355684199425923,-18.5196432345604,102.0,125.0,1.12165562710151,63.0510462850286,51.2532346521207,18.98,0.0,EAST OF ENGLAND
E81048,62.669859838577004,21.1405875169691,68.0982647,33.4754913,85.14457389522599,26.9864263528671,17.046309195225987,-6.489064947132903,81.0,98.0,10.2638674809582,79.7677209643822,45.631543884921,35.9,0.0,EAST OF ENGLAND
E81050,94.9920141741696,57.5706810085049,87.8949254,51.1520022,87.166106333172,46.8781293027709,-0.7288190668280095,-4.273872897229097,100.0,119.0,0.987165808582987,84.5431532377484,50.909002665075796,11.32,1.0,EAST OF ENGLAND
E81061,59.83675372143949,55.2446383244303,76.3053344,51.3232187,78.9640814984121,54.461954887743005,2.6587470984120927,3.1387361877430067,90.0,118.0,5.55003722704208,77.1831918334243,49.171485044606,9.73,0.0,EAST OF ENGLAND
E81063,61.56912528845731,20.987344255391598,69.5808393,24.0575598,77.6661254124483,32.0785974629309,8.085286112448301,8.021037662930901,133.0,74.0,4.859358680607611,74.5210108887421,48.4265177308692,36.3,0.0,EAST OF ENGLAND
E81069,70.78095376955311,30.751290231349998,69.6386602,29.7565391,71.54365974763141,7.175139659000029,1.9049995476314052,-22.581399440999974,79.0,119.0,8.27409277208405,63.9363071588557,53.619384670815194,14.7,1.0,EAST OF ENGLAND
E81073,61.0689228827419,22.6432424972768,64.2850023,25.3291238,67.04940059879961,27.9545548740743,2.7643982987996054,2.6254310740742994,105.0,82.0,12.9970946517623,63.1426633711174,56.123168167816594,33.02,0.0,EAST OF ENGLAND
E85746,56.14139860253991,31.5509306259961,75.326256,55.1860456,76.6024264422534,43.9165355824431,1.2761704422534024,-11.269510017556897,97.0,108.0,3.1540830487190004,73.102787375284,46.821968878201396,16.7,0.0,LONDON
E85748,66.25325896493361,50.6779107187844,63.8494617,45.5030647,59.1647255930709,37.0166595805564,-4.684736106929101,-8.486405119443603,84.0,85.0,17.9333066568589,56.4586593316899,32.9569600423975,26.5,0.0,LONDON
E86001,70.62576290397719,27.1889959903959,75.805633,19.7207681,89.451285275515,27.6300664522673,13.645652275515005,7.9092983522672995,112.0,94.0,2.26517073907491,76.4098280621848,46.5866900565741,10.01,0.0,LONDON
