gp_code,year,list_size
B81081,2013,3697
B81082,2013,6122
B81084,2013,8110
B81085,2013,5155
B81087,2013,7254
B81088,2013,7089
B81089,2013,3672
B81090,2013,4133
B81091,2013,5539
B81092,2013,10466
B81094,2013,1382
B81095,2013,4028
B81097,2013,1541
B81098,2013,3855
B81099,2013,5588
B81100,2013,2562
B81101,2013,5794
B81104,2013,6355
B81108,2013,4281
B81109,2013,12308
B81112,2013,3247
B81113,2013,5710
B81118,2013,4882
B81119,2013,4236
B81120,2013,1702
B81121,2013,2627
B81602,2013,2468
B81603,2013,4790
B81606,2013,4038
B81616,2013,2522
B81617,2013,7436
B81619,2013,4191
B81620,2013,2439
B81622,2013,4197
B81628,2013,2900
B81631,2013,3518
B81634,2013,2815
B81635,2013,3039
B81642,2013,2547
B81644,2013,2179
B81645,2013,3157
B81647,2013,2719
B81648,2013,1202
B81653,2013,4503
B81655,2013,2281
B81656,2013,5267
B81658,2013,1494
B81663,2013,2280
B81664,2013,1855
B81665,2013,1941
B81666,2013,2266
B81671,2013,178
B81674,2013,2439
B81675,2013,8658
B81677,2013,4644
B81679,2013,2104
B81682,2013,5376
B81683,2013,1823
B81685,2013,2189
B81686,2013,2724
B81688,2013,1877
B81689,2013,2214
B81690,2013,1404
B81692,2013,2016
B81693,2013,2543
B81697,2013,2754
B82001,2013,10497
B82002,2013,6996
B82003,2013,6271
B82004,2013,10254
B82005,2013,52386
B82006,2013,5015
B82007,2013,9309
B82008,2013,9247
B82010,2013,7028
B82011,2013,4901
B82012,2013,13226
B82013,2013,15544
B82014,2013,6911
B82016,2013,6786
B82017,2013,14476
B82018,2013,6039
B82019,2013,2765
B82020,2013,12198
B82021,2013,7505
B82022,2013,5509
B82023,2013,6372
B82024,2013,7533
B82025,2013,19609
B82026,2013,19586
B82027,2013,10206
B82028,2013,13912
B82029,2013,3241
B82030,2013,5515
B82031,2013,8688
B82032,2013,10062
B82033,2013,10229
B82034,2013,6217
B82035,2013,3474
B82036,2013,6991
B82037,2013,8757
B82038,2013,7750
B82041,2013,15690
B82042,2013,8086
B82043,2013,6141
B82044,2013,9505
B82045,2013,4301
B82046,2013,2668
B82047,2013,20731
B82048,2013,7034
B82049,2013,7256
B82050,2013,19580
B82053,2013,11673
B82054,2013,12185
B82055,2013,13088
B82056,2013,5444
B82057,2013,5633
B82058,2013,6496
B82059,2013,11349
B82060,2013,11306
B82061,2013,7395
B82062,2013,2260
B82063,2013,7866
B82064,2013,3286
B82066,2013,9283
B82067,2013,6396
B82068,2013,3139
B82069,2013,7925
B82071,2013,7100
B82072,2013,5795
B82073,2013,9649
B82074,2013,15589
B82075,2013,9971
B82076,2013,4980
B82077,2013,5911
B82078,2013,5855
B82079,2013,3270
B82080,2013,17852
B82081,2013,7115
B82082,2013,6248
B82083,2013,17593
B82086,2013,2299
B82088,2013,5266
B82091,2013,6285
B82092,2013,4390
B82095,2013,4052
B82097,2013,10863
B82098,2013,13974
B82099,2013,4109
B82100,2013,4339
B82101,2013,5173
B82103,2013,1999
B82104,2013,6507
B82105,2013,8182
B82106,2013,3219
B82609,2013,3966
B82611,2013,3964
B82619,2013,1005
B82622,2013,1621
B82627,2013,4075
B82628,2013,4062
B82629,2013,823
B83002,2013,4526
B83005,2013,7810
B83006,2013,10758
B83007,2013,6448
B83008,2013,11369
B83009,2013,11049
B83010,2013,10745
B83011,2013,5461
B83012,2013,5723
B83013,2013,11023
B83014,2013,12306
B83015,2013,8281
B83016,2013,5685
B83017,2013,8108
B83018,2013,11570
B83019,2013,6504
B83020,2013,7335
B83021,2013,12748
B83022,2013,9083
B83023,2013,10067
B83025,2013,4076
B83026,2013,4544
B83027,2013,9313
B83028,2013,10734
B83029,2013,8730
B83030,2013,8263
B83031,2013,3118
B83032,2013,3679
B83033,2013,13263
B83034,2013,6231
B83035,2013,8455
B83037,2013,9871
B83038,2013,9932
B83039,2013,12216
B83040,2013,10625
B83041,2013,7279
B83042,2013,6687
B83043,2013,4767
B83044,2013,7215
B83045,2013,6661
B83049,2013,3924
B83050,2013,7548
B83051,2013,10849
B83052,2013,8942
B83054,2013,4894
B83055,2013,25507
B83056,2013,6945
B83058,2013,6733
B83061,2013,3317
B83062,2013,8216
B83063,2013,8033
B83064,2013,9371
B83067,2013,7042
B83069,2013,1749
B83070,2013,3932
B83071,2013,3975
B83602,2013,7037
B83604,2013,2620
B83611,2013,2247
B83613,2013,3519
B83614,2013,5213
B83617,2013,1790
B83620,2013,2903
B83621,2013,3150
B83622,2013,5164
B83624,2013,13249
B83626,2013,6151
B83627,2013,3415
B83628,2013,4495
B83629,2013,2510
B83631,2013,3176
B83638,2013,4350
B83641,2013,7654
B83642,2013,2359
B83653,2013,7675
B83657,2013,2096
B83659,2013,2628
B83660,2013,5126
B83661,2013,2935
B84001,2013,11125
B84002,2013,6132
B84003,2013,8633
B84004,2013,18823
B84005,2013,9947
B84006,2013,13487
B84007,2013,9680
B84008,2013,13741
B84009,2013,11099
B84010,2013,10742
B84011,2013,12103
B84012,2013,8973
B84013,2013,8892
B84014,2013,4680
B84016,2013,7781
B84017,2013,2365
B84019,2013,8580
B84021,2013,7208
B84610,2013,3992
B84612,2013,5207
B84613,2013,7567
B84614,2013,2163
B84615,2013,2661
B84618,2013,8990
B84623,2013,3776
B85001,2013,7392
B85002,2013,3801
B85004,2013,4404
B85005,2013,6317
B85006,2013,12999
B85008,2013,4418
B85009,2013,5755
B85010,2013,6486
B85011,2013,6310
B85012,2013,10117
B85014,2013,9976
B85015,2013,9233
B85016,2013,8901
B85018,2013,8696
B85019,2013,17174
B85020,2013,6364
B85021,2013,7541
B85022,2013,7945
B85023,2013,6237
B85024,2013,9297
B85025,2013,11305
B85026,2013,7826
B85027,2013,9815
B85028,2013,16976
B85030,2013,7546
B85031,2013,7497
B85032,2013,6040
B85033,2013,4591
B85036,2013,7030
B85037,2013,6417
B85038,2013,5634
B85041,2013,14280
B85042,2013,8482
B85044,2013,2229
B85048,2013,3183
B85051,2013,8000
B85054,2013,4520
B85055,2013,6455
B85058,2013,2272
B85059,2013,4382
B85060,2013,2892
B85061,2013,9166
B85062,2013,10890
B85606,2013,4955
B85610,2013,8051
B85611,2013,3374
B85612,2013,3393
B85614,2013,4555
B85619,2013,2591
B85620,2013,2055
B85621,2013,2072
B85622,2013,3877
B85623,2013,2274
B85625,2013,1710
B85628,2013,1795
B85629,2013,2470
B85634,2013,2640
B85636,2013,3788
B85638,2013,4493
B85640,2013,3569
B85641,2013,8755
B85644,2013,2563
B85645,2013,3021
B85646,2013,5930
B85650,2013,2474
B85652,2013,7441
B85655,2013,2378
B85659,2013,1150
B85660,2013,5038
B86001,2013,2384
B86002,2013,11656
B86003,2013,13870
B86004,2013,7431
B86005,2013,4413
B86006,2013,13507
B86007,2013,8008
B86008,2013,8496
B86009,2013,6207
B86010,2013,8965
B86011,2013,6903
B86012,2013,14951
B86013,2013,14036
B86014,2013,11741
B86015,2013,14687
B86016,2013,16208
B86017,2013,10423
B86018,2013,7191
B86019,2013,9518
B86020,2013,9554
B86022,2013,9657
B86023,2013,4027
B86024,2013,9215
B86025,2013,9871
B86026,2013,3009
B86028,2013,3453
B86029,2013,5515
