month,level,org_code,org_name,region_code,region_name,metric,value
2021-05,England,ENG,England,,,logins,16910460.0
2021-06,England,ENG,England,,,logins,20741333.0
2021-07,England,ENG,England,,,logins,33044677.0
2021-08,England,ENG,England,,,logins,30251815.0
2021-09,England,ENG,England,,,logins,30963167.0
2021-10,England,ENG,England,,,logins,32754895.0
2021-11,England,ENG,England,,,logins,39358870.0
2021-12,England,ENG,England,,,logins,60463210.0
2022-01,England,ENG,England,,,logins,39787987.0
2022-02,England,ENG,England,,,logins,27930505.0
2022-03,England,ENG,England,,,logins,26521835.0
2022-04,England,ENG,England,,,logins,24553589.0
2022-05,England,ENG,England,,,logins,24617229.0
2022-06,England,ENG,England,,,logins,21055895.0
2022-07,England,ENG,England,,,logins,20487395.0
2022-08,England,ENG,England,,,logins,18491788.0
2022-09,England,ENG,England,,,logins,19533394.0
2022-10,England,ENG,England,,,logins,21016821.0
2022-11,England,ENG,England,,,logins,16821146.0
2022-12,England,ENG,England,,,logins,14758246.0
2023-01,England,ENG,England,,,logins,17274920.0
2023-02,England,ENG,England,,,logins,16249083.0
2023-03,England,ENG,England,,,logins,18676964.0
2023-04,England,ENG,England,,,logins,18039218.0
2023-05,England,ENG,England,,,logins,19059977.0
2023-06,England,ENG,England,,,logins,17873665.0
2023-07,England,ENG,England,,,logins,18127130.0
2023-08,England,ENG,England,,,logins,19170970.0
2023-09,England,ENG,England,,,logins,23397243.0
2023-10,England,ENG,England,,,logins,28151180.0
2023-11,England,ENG,England,,,logins,25820326.0
2023-12,England,ENG,England,,,logins,22566553.0
2024-01,England,ENG,England,,,logins,28274813.0
2024-02,England,ENG,England,,,logins,29024483.0
2024-03,England,ENG,England,,,logins,31531944.0
2024-04,England,ENG,England,,,logins,34110043.0
2024-05,England,ENG,England,,,logins,34428350.0
2024-06,England,ENG,England,,,logins,33136517.0
2024-07,England,ENG,England,,,logins,39668165.0
2024-08,England,ENG,England,,,logins,38828486.0
2024-09,England,ENG,England,,,logins,44551824.0
2024-10,England,ENG,England,,,logins,54697767.0
2024-11,England,ENG,England,,,logins,47288998.0
2024-12,England,ENG,England,,,logins,41415949.0
2025-01,England,ENG,England,,,logins,51159850.0
2025-02,England,ENG,England,,,logins,48053521.0
2025-03,England,ENG,England,,,logins,53273324.0
2025-04,England,ENG,England,,,logins,51189940.0
2025-05,England,ENG,England,,,logins,50796214.0
2025-06,England,ENG,England,,,logins,53047654.0
2025-07,England,ENG,England,,,logins,56450869.0
2025-08,England,ENG,England,,,logins,54342814.0
2025-09,England,ENG,England,,,logins,63082587.0
2025-10,England,ENG,England,,,logins,70516481.0
2025-11,England,ENG,England,,,logins,62317175.0
2025-12,England,ENG,England,,,logins,58951633.0
2026-01,England,ENG,England,,,logins,69348355.0
2026-02,England,ENG,England,,,logins,66921926.0
2026-03,England,ENG,England,,,logins,77106066.0
2026-04,England,ENG,England,,,logins,74831891.0
2024-10,England,ENG,England,,,patients_presc_tracking_enabled,494521.0
2024-11,England,ENG,England,,,patients_presc_tracking_enabled,856575.0
2024-12,England,ENG,England,,,patients_presc_tracking_enabled,7236148.0
2025-01,England,ENG,England,,,patients_presc_tracking_enabled,7288062.0
2025-02,England,ENG,England,,,patients_presc_tracking_enabled,7393420.0
2025-03,England,ENG,England,,,patients_presc_tracking_enabled,7465025.0
2025-04,England,ENG,England,,,patients_presc_tracking_enabled,7610389.0
2025-05,England,ENG,England,,,patients_presc_tracking_enabled,7804917.0
2025-06,England,ENG,England,,,patients_presc_tracking_enabled,8312957.0
2025-07,England,ENG,England,,,patients_presc_tracking_enabled,8522377.0
2025-08,England,ENG,England,,,patients_presc_tracking_enabled,8685544.0
2025-09,England,ENG,England,,,patients_presc_tracking_enabled,9133494.0
2025-10,England,ENG,England,,,patients_presc_tracking_enabled,9424339.0
2025-11,England,ENG,England,,,patients_presc_tracking_enabled,9948951.0
2025-12,England,ENG,England,,,patients_presc_tracking_enabled,10113579.0
2026-01,England,ENG,England,,,patients_presc_tracking_enabled,10379854.0
2026-02,England,ENG,England,,,patients_presc_tracking_enabled,13635959.0
2026-03,England,ENG,England,,,patients_presc_tracking_enabled,13966310.0
2026-04,England,ENG,England,,,patients_presc_tracking_enabled,15440524.0
2024-10,England,ENG,England,,,pharmacy_sites_presc_tracking_live,107.0
2024-11,England,ENG,England,,,pharmacy_sites_presc_tracking_live,173.0
2024-12,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1401.0
2025-01,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1413.0
2025-02,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1434.0
2025-03,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1450.0
2025-04,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1476.0
2025-05,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1503.0
2025-06,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1600.0
2025-07,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1648.0
2025-08,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1682.0
2025-09,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1778.0
2025-10,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1841.0
2025-11,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1944.0
2025-12,England,ENG,England,,,pharmacy_sites_presc_tracking_live,1981.0
2026-01,England,ENG,England,,,pharmacy_sites_presc_tracking_live,2033.0
2026-02,England,ENG,England,,,pharmacy_sites_presc_tracking_live,2710.0
2026-03,England,ENG,England,,,pharmacy_sites_presc_tracking_live,2771.0
2026-04,England,ENG,England,,,pharmacy_sites_presc_tracking_live,3060.0
2024-10,England,ENG,England,,,presc_tracking_unique_users_monthly,1264.0
2024-11,England,ENG,England,,,presc_tracking_unique_users_monthly,10295.0
2024-12,England,ENG,England,,,presc_tracking_unique_users_monthly,41576.0
2025-01,England,ENG,England,,,presc_tracking_unique_users_monthly,107111.0
2025-02,England,ENG,England,,,presc_tracking_unique_users_monthly,107562.0
2025-03,England,ENG,England,,,presc_tracking_unique_users_monthly,150164.0
2025-04,England,ENG,England,,,presc_tracking_unique_users_monthly,173249.0
2025-05,England,ENG,England,,,presc_tracking_unique_users_monthly,192407.0
2025-06,England,ENG,England,,,presc_tracking_unique_users_monthly,201711.0
2025-07,England,ENG,England,,,presc_tracking_unique_users_monthly,211415.0
2025-08,England,ENG,England,,,presc_tracking_unique_users_monthly,213205.0
2025-09,England,ENG,England,,,presc_tracking_unique_users_monthly,244119.0
2025-10,England,ENG,England,,,presc_tracking_unique_users_monthly,277729.0
2025-11,England,ENG,England,,,presc_tracking_unique_users_monthly,276920.0
2025-12,England,ENG,England,,,presc_tracking_unique_users_monthly,291514.0
2026-01,England,ENG,England,,,presc_tracking_unique_users_monthly,322955.0
2026-02,England,ENG,England,,,presc_tracking_unique_users_monthly,337957.0
2026-03,England,ENG,England,,,presc_tracking_unique_users_monthly,422960.0
2026-04,England,ENG,England,,,presc_tracking_unique_users_monthly,421645.0
