gp_code,oc_wd_total,oc_rush,oc_rush_pct,same_day_12m,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,rush_pct,calls_per_1k,total_wd,oq
B82022,139,29,20.863309352517987,37.2217034962133,1.0,12.94,8.643502735824447,18.61394283028291,10.435089162431328,3.1963336184964306,0.0,0.0,NORTH EAST AND YORKSHIRE,44.6,771.9,4389,Q1
B82023,592,210,35.472972972972975,40.14193668876646,1.0,18.08,8.74509871983194,12.73919159372595,7.006555375673452,3.906685422649221,0.0,0.0,NORTH EAST AND YORKSHIRE,22.5,416.8,2530,Q3
B82024,481,181,37.62993762993763,21.98638366039247,0.0,34.5,9.144120438056074,0.0,1.1396924604001388,4.786708336672277,0.0,0.0,NORTH EAST AND YORKSHIRE,23.7,939.0,8302,Q3
B82032,3661,1547,42.25621414913958,50.91648176971222,1.0,12.69,9.412757269212928,11.658460554712333,0.0,5.118327286537846,0.0,1.0,NORTH EAST AND YORKSHIRE,23.7,400.5,4968,Q4
B82033,339,63,18.58407079646018,23.040124516468676,1.0,14.41,9.302835988550251,17.221736851605648,13.200738440009422,13.006252420971064,0.0,1.0,NORTH EAST AND YORKSHIRE,27.3,575.1,6267,Q1
B82042,847,202,23.84887839433294,38.218462304055734,1.0,14.52,9.056081352947112,16.552904342803803,4.480485385916808,7.96530735196313,0.0,1.0,NORTH EAST AND YORKSHIRE,27.9,709.1,6082,Q1
B82044,242,53,21.90082644628099,39.39856745397502,1.0,14.59,9.146530474217004,13.870778632108152,7.077507949761063,5.059423352933861,0.0,0.0,NORTH EAST AND YORKSHIRE,35.2,662.2,6280,Q1
B82046,355,81,22.816901408450704,23.53740858803675,1.0,32.17,8.043770390124847,14.128224339077386,5.137536123300867,0.0,0.0,1.0,NORTH EAST AND YORKSHIRE,26.8,603.8,1856,Q1
B82054,4065,2708,66.61746617466174,23.132683416365005,0.0,22.82,9.668671980778104,17.182724534915582,8.245684294838014,7.739814093333052,0.0,1.0,NORTH EAST AND YORKSHIRE,24.7,714.2,11854,Q4
B82064,271,121,44.64944649446495,29.850413038624694,1.0,9.06,8.173081850997741,25.581340667277985,14.445933554348592,16.92882838400226,0.0,1.0,NORTH EAST AND YORKSHIRE,29.4,484.2,1742,Q4
