Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Column not used,Time period Sortable,New data,Compared to goal,Time period range
93553,Deprivation score (IMD 2019),E92000001,England,A82004,Alston Medical Practice,GPs,Persons,All ages,,,2019,20.101738722644,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82005,Ambleside Health Centre,GPs,Persons,All ages,,,2019,12.5832611798287,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82006,Appleby Medical Practice,GPs,Persons,All ages,,,2019,15.8849782873377,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82007,Duke Street Surgery,GPs,Persons,All ages,,,2019,35.3418782536555,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82008,Norwood Medical Centre,GPs,Persons,All ages,,,2019,32.3190805721528,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82009,Bridgegate Medical Centre,GPs,Persons,All ages,,,2019,33.3358101706331,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82010,Abbey Road Surgery,GPs,Persons,All ages,,,2019,26.7395717054264,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82012,Brampton Medical Practice,GPs,Persons,All ages,,,2019,14.1883125860989,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82013,Upper Eden Medical Practice,GPs,Persons,All ages,,,2019,20.568628147482,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82014,Caldbeck Surgery,GPs,Persons,All ages,,,2019,17.6314096385542,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82015,Warwick Road Surgery,GPs,Persons,All ages,,,2019,27.8074726618705,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82016,Carlisle Healthcare,GPs,Persons,All ages,,,2019,22.7083933960201,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82018,Spencer St Surgery,GPs,Persons,All ages,,,2019,23.5269205640985,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82019,Fusehill Medical Practice,GPs,Persons,All ages,,,2019,24.4890791528632,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82020,Eden Medical Group,GPs,Persons,All ages,,,2019,24.6237100662252,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82021,Castlegate and Derwent Surgery,GPs,Persons,All ages,,,2019,13.4107260768335,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82022,Dalston Medical Group,GPs,Persons,All ages,,,2019,14.9383263943441,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82023,Distington Surgery,GPs,Persons,All ages,,,2019,23.8847589338598,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82024,Seascale Health Centre,GPs,Persons,All ages,,,2019,14.4670163588391,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82025,Captain French Surgery,GPs,Persons,All ages,,,2019,14.3983928466725,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82026,The James Cochrane Pract.,GPs,Persons,All ages,,,2019,12.5094990254529,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82027,Station House Surgery,GPs,Persons,All ages,,,2019,13.5584413325472,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82028,Castlehead Medical Centre,GPs,Persons,All ages,,,2019,12.6257578529306,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82029,The Croft Surgery,GPs,Persons,All ages,,,2019,18.7093640552995,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82030,Lunesdale Surgery,GPs,Persons,All ages,,,2019,11.6019872230309,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82031,Shap Medical Practice,GPs,Persons,All ages,,,2019,15.6970581280788,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82032,Maryport Health Services,GPs,Persons,All ages,,,2019,30.2179211851,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82033,Waterloo House Surgery,GPs,Persons,All ages,,,2019,27.2743925256473,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82034,Stoneleigh Surgery,GPs,Persons,All ages,,,2019,8.65946015503876,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82035,Birbeck Medical Group,GPs,Persons,All ages,,,2019,14.8870993436346,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82036,The Lakes Medical Practice,GPs,Persons,All ages,,,2019,14.9613919064925,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82037,Silloth Group Medical Practice,GPs,Persons,All ages,,,2019,24.4071086026616,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82038,Temple Sowerby Medical Practice,GPs,Persons,All ages,,,2019,15.8925187177281,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82039,Dalton Surgery,GPs,Persons,All ages,,,2019,19.0933979390992,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82041,Lowther Medical Centre,GPs,Persons,All ages,,,2019,27.7084508150646,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82044,Fellview Healthcare,GPs,Persons,All ages,,,2019,25.9900760982936,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82045,Wigton Group Medical Practice,GPs,Persons,All ages,,,2019,19.0075265375854,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82046,Windermere Health Centre,GPs,Persons,All ages,,,2019,12.3060646482636,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
93553,Deprivation score (IMD 2019),E92000001,England,A82047,James Street Group Pract,GPs,Persons,All ages,,,2019,30.4045359774599,,,,,,,,Cannot be calculated,Not compared,Not compared,20190000,,,1y
