tag,model,outcome,predictor,coef,se
after_rebuilt,plusreport,Q32_overall,oc_rate_febapr,-0.803,0.154
after_rebuilt,plusreport,Q32_overall,same_day_pct_12m,0.496,0.12
after_rebuilt,plusreport,Q32_overall,log_list,-0.455,0.159
after_rebuilt,plusreport,Q32_overall,imd_score,-0.522,0.149
after_rebuilt,plusreport,Q32_overall,partner_per10k,0.518,0.132
after_rebuilt,plusreport,Q32_overall,salaried_per10k,1.005,0.13
after_rebuilt,plusreport,Q32_overall,locum_per10k,0.135,0.118
after_rebuilt,plusreport,Q32_overall,trainee_per10k,0.683,0.141
after_rebuilt,plusreport,Q32_overall,training_flag,1.816,0.338
after_rebuilt,plusreport,Q32_overall,nurse10k_c,0.182,0.133
after_rebuilt,plusreport,Q32_overall,dpc10k_c,-0.016,0.112
after_rebuilt,plusreport,Q32_overall,admin10k_c,-0.432,0.156
after_rebuilt,plusreport,Q32_overall,appts_percap,-0.001,0.207
after_rebuilt,plusreport,Q32_overall,pct65plus,0.175,0.198
after_rebuilt,plusreport,Q32_overall,nonwhite_pct,-1.062,0.181
after_rebuilt,plusreport,Q32_overall,adm_x_size,0.109,0.071
after_rebuilt,plusreport,Q32_overall,adm_x_oc,-0.08,0.13
after_rebuilt,plusreport,Q32_overall,deflection_2026,-4.057,0.134
after_rebuilt,plusreport,Q32_overall,continuity_2026,2.952,0.134
after_rebuilt,plusreport,Q32_overall,has_pref_hcp_2026,1.264,0.132
after_rebuilt,plusreport,Q32_overall,_R2,0.5388,
after_rebuilt,plusreport,Q32_overall,_n,4818.0,
after_rebuilt,together,Q16_contact,queue_answer,3.08,0.187
after_rebuilt,together,Q16_contact,ivr_share,-1.721,0.18
after_rebuilt,together,Q16_contact,monwed_gap,0.023,0.158
after_rebuilt,together,Q16_contact,contacts_per_appt,-0.643,0.278
after_rebuilt,together,Q16_contact,calls_per1k,1.51,0.319
after_rebuilt,together,Q16_contact,oc_rate_febapr,-1.738,0.206
after_rebuilt,together,Q16_contact,same_day_pct_12m,-0.052,0.167
after_rebuilt,together,Q16_contact,log_list,-2.191,0.222
after_rebuilt,together,Q16_contact,imd_score,-2.178,0.209
after_rebuilt,together,Q16_contact,partner_per10k,1.385,0.189
after_rebuilt,together,Q16_contact,salaried_per10k,1.233,0.189
after_rebuilt,together,Q16_contact,locum_per10k,0.136,0.15
after_rebuilt,together,Q16_contact,trainee_per10k,0.167,0.184
after_rebuilt,together,Q16_contact,training_flag,2.898,0.474
after_rebuilt,together,Q16_contact,nurse10k_c,0.205,0.192
after_rebuilt,together,Q16_contact,dpc10k_c,0.536,0.16
after_rebuilt,together,Q16_contact,admin10k_c,-1.092,0.202
after_rebuilt,together,Q16_contact,appts_percap,0.326,0.273
after_rebuilt,together,Q16_contact,pct65plus,-0.357,0.272
after_rebuilt,together,Q16_contact,nonwhite_pct,-1.306,0.245
after_rebuilt,together,Q16_contact,adm_x_size,-0.156,0.147
after_rebuilt,together,Q16_contact,adm_x_oc,0.145,0.181
after_rebuilt,together,Q16_contact,_R2,0.304,
after_rebuilt,together,Q16_contact,_n,4818.0,
after_rebuilt,plusreport,Q16_contact,queue_answer,1.637,0.135
after_rebuilt,plusreport,Q16_contact,ivr_share,-0.813,0.131
after_rebuilt,plusreport,Q16_contact,monwed_gap,0.007,0.119
after_rebuilt,plusreport,Q16_contact,contacts_per_appt,-0.163,0.207
after_rebuilt,plusreport,Q16_contact,calls_per1k,1.527,0.261
after_rebuilt,plusreport,Q16_contact,oc_rate_febapr,-1.444,0.158
after_rebuilt,plusreport,Q16_contact,same_day_pct_12m,0.586,0.126
after_rebuilt,plusreport,Q16_contact,log_list,-0.902,0.166
after_rebuilt,plusreport,Q16_contact,imd_score,-0.751,0.158
after_rebuilt,plusreport,Q16_contact,partner_per10k,0.286,0.138
after_rebuilt,plusreport,Q16_contact,salaried_per10k,0.718,0.132
after_rebuilt,plusreport,Q16_contact,locum_per10k,0.027,0.126
after_rebuilt,plusreport,Q16_contact,trainee_per10k,0.694,0.141
after_rebuilt,plusreport,Q16_contact,training_flag,1.724,0.35
after_rebuilt,plusreport,Q16_contact,nurse10k_c,0.231,0.138
after_rebuilt,plusreport,Q16_contact,dpc10k_c,0.248,0.12
after_rebuilt,plusreport,Q16_contact,admin10k_c,-0.342,0.158
after_rebuilt,plusreport,Q16_contact,appts_percap,-0.05,0.204
after_rebuilt,plusreport,Q16_contact,pct65plus,-0.442,0.201
after_rebuilt,plusreport,Q16_contact,nonwhite_pct,-0.675,0.186
after_rebuilt,plusreport,Q16_contact,adm_x_size,-0.017,0.073
after_rebuilt,plusreport,Q16_contact,adm_x_oc,0.116,0.136
after_rebuilt,plusreport,Q16_contact,deflection_2026,-5.699,0.132
after_rebuilt,plusreport,Q16_contact,continuity_2026,3.336,0.136
after_rebuilt,plusreport,Q16_contact,has_pref_hcp_2026,0.734,0.135
after_rebuilt,plusreport,Q16_contact,_R2,0.6194,
