month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,F84686,THE SURGERY (CRANWICH ROAD),5811.0,4730.0,0.775,5629.0,4730.0,0.775,1210.0,1080.0,0.831
2026-06-01,F84111,ABBEY ROAD MEDICAL PRACTICE,6720.0,3795.0,0.521,6414.0,3778.0,0.522,2134.0,1051.0,0.337
2026-06-01,F84121,E12 HEALTH,6839.0,4184.0,0.703,6580.0,4176.0,0.704,1376.0,886.0,0.717
2026-06-01,F84092,GLEN ROAD MEDICAL CENTRE,6066.0,4060.0,0.594,5753.0,4053.0,0.594,1180.0,886.0,0.621
2026-06-01,Y04273,LIBERTY BRIDGE ROAD PRACTICE,6904.0,4772.0,0.669,6254.0,4466.0,0.663,1430.0,1058.0,0.718
2026-06-01,F84740,NEWHAM TRANSITIONAL PRACTICE,2425.0,1557.0,0.784,2360.0,1555.0,0.785,544.0,360.0,0.736
2026-06-01,F84009,STRATFORD VILLAGE SURGERY,10483.0,4600.0,0.524,9964.0,4597.0,0.524,1828.0,698.0,0.646
2026-06-01,F84730,THE VICARAGE LANE SURGERY,3684.0,2309.0,0.456,3482.0,2290.0,0.455,975.0,677.0,0.554
2026-06-01,F84083,BETHNAL GREEN HEALTH CTR.,4392.0,2215.0,0.323,4189.0,2197.0,0.321,1106.0,761.0,0.494
2026-06-01,F84051,STROUTS PLACE MEDICAL CENTRE,3255.0,2080.0,0.536,3175.0,2080.0,0.536,626.0,419.0,0.685
2026-06-01,F84123,SUTTONS WHARF HEALTH CENTRE,3904.0,2679.0,0.826,3731.0,2671.0,0.827,884.0,638.0,0.801
2026-06-01,F84016,THE MISSION PRACTICE,4229.0,2540.0,0.485,3936.0,2488.0,0.482,964.0,655.0,0.521
2026-06-01,F84012,ALBION HEALTH CENTRE,4399.0,2789.0,0.333,4112.0,2775.0,0.335,1026.0,767.0,0.305
2026-06-01,F84733,HEALTH E1,1219.0,1066.0,0.987,1177.0,1049.0,0.987,389.0,368.0,0.997
2026-06-01,F84718,THE BLITHEHALE MED.CTR.,6954.0,4275.0,0.375,6769.0,4275.0,0.375,1910.0,988.0,0.319
2026-06-01,F84081,THE SPITALFIELDS PRACTICE,6417.0,3272.0,0.369,6238.0,3195.0,0.353,1938.0,819.0,0.536
2026-06-01,F84044,HARLEY GROVE MEDICAL CTR.,3347.0,1999.0,0.44,2977.0,1855.0,0.442,451.0,2.0,1.0
2026-06-01,F84030,RUSTON STREET CLINIC,1795.0,1371.0,0.746,1679.0,1320.0,0.752,210.0,170.0,0.706
2026-06-01,F84034,ST. STEPHENS HEALTH CENTRE,4994.0,3673.0,0.707,4691.0,3437.0,0.697,551.0,485.0,0.647
2026-06-01,F84055,THE GROVE ROAD SURGERY,1878.0,1357.0,0.879,1745.0,1297.0,0.877,230.0,157.0,0.631
2026-06-01,F84696,TREDEGAR PRACTICE,1889.0,1414.0,0.805,1783.0,1354.0,0.806,211.0,144.0,0.674
2026-06-01,F84698,ABERFELDY PRACTICE,4133.0,2438.0,0.852,3956.0,2438.0,0.852,945.0,629.0,0.893
2026-06-01,F84025,GOUGH WALK PRACTICE,6916.0,3039.0,0.425,6229.0,2935.0,0.434,1787.0,484.0,0.192
2026-06-01,F84062,THE CHRISP STREET HTH CTR,5305.0,3508.0,0.635,5018.0,3414.0,0.625,1220.0,817.0,0.687
2026-06-01,F84054,THE LIMEHOUSE PRACTICE,8949.0,6987.0,0.752,8735.0,6810.0,0.745,2552.0,1892.0,0.668
2026-06-01,F84656,DOCKLANDS MEDICAL CENTRE,4604.0,3364.0,0.483,4402.0,3334.0,0.48,1180.0,927.0,0.475
2026-06-01,F84710,ISLAND HEALTH,4004.0,2878.0,0.713,3776.0,2875.0,0.713,1211.0,961.0,0.675
2026-06-01,F84647,ROSERTON STREET SURGERY,8465.0,5132.0,0.497,7726.0,4901.0,0.489,2278.0,1536.0,0.564
2026-06-01,F84747,THE BARKANTINE PRACTICE,9131.0,3130.0,0.606,8188.0,3027.0,0.61,3043.0,581.0,0.432
2026-06-01,F84114,CITY SQUARE MEDICAL GROUP,4773.0,2394.0,0.389,4544.0,2387.0,0.388,881.0,533.0,0.58
2026-06-01,F84087,HARFORD HEALTH CENTRE,4723.0,3332.0,0.886,4526.0,3326.0,0.885,967.0,600.0,0.915
2026-06-01,F84731,ST. KATHERINE'S DOCK PRACTICE,1155.0,666.0,0.695,1127.0,665.0,0.695,243.0,145.0,0.531
2026-06-01,F84031,THE JUBILEE STREET PRACTICE LTD,9645.0,5603.0,0.693,9315.0,5591.0,0.693,3180.0,1572.0,0.665
2026-06-01,F84079,THE WAPPING GROUP PRACTICE,4704.0,2451.0,0.498,4510.0,2448.0,0.498,1097.0,498.0,0.624
2026-06-01,F86731,ALDERSBROOK MEDICAL CENTRE,3351.0,2158.0,0.667,2610.0,2062.0,0.665,1147.0,866.0,0.409
2026-06-01,F86652,THE DRIVE SURGERY,4837.0,3081.0,0.418,4382.0,2976.0,0.429,1468.0,941.0,0.337
2026-06-01,Unassigned,Unmapped,89440.0,39403.0,0.522,81831.0,38459.0,0.523,23958.0,9128.0,0.53
2026-06-01,F86626,DR SHANTIR PRACTICE,5252.0,2837.0,0.625,4630.0,2705.0,0.637,1485.0,839.0,0.474
2026-06-01,F86700,KINGS HEAD MEDICAL PRACTICE,2302.0,1639.0,0.723,2223.0,1634.0,0.723,645.0,437.0,0.632
2026-06-01,F86664,LARKSHALL MEDICAL CENTRE,4466.0,1624.0,0.203,4264.0,1613.0,0.203,914.0,425.0,0.207
2026-06-01,Y01839,SINNOTT MEDICAL CENTRE,2561.0,1710.0,0.691,2457.0,1699.0,0.692,539.0,374.0,0.663
2026-06-01,F86689,THE BAILEY PRACTICE,2092.0,1721.0,0.815,2044.0,1697.0,0.813,542.0,466.0,0.796
2026-06-01,F86638,THE MICROFACULTY,2819.0,1877.0,0.841,2478.0,1771.0,0.846,876.0,672.0,0.682
2026-06-01,F86005,THE PENRHYN SURGERY,3212.0,1380.0,0.646,3000.0,1345.0,0.655,840.0,405.0,0.56
2026-06-01,F86044,CRAWLEY ROAD MEDICAL CENTRE,3267.0,2502.0,0.841,3161.0,2494.0,0.841,590.0,476.0,0.887
2026-06-01,F86712,HAMPTON MEDICAL CENTRE,1468.0,979.0,0.817,1417.0,977.0,0.818,417.0,264.0,0.621
