period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,P87649,1894,4661,4661,543,1515,1515
janfeb,P87654,4739,9961,9961,2080,3962,3962
janfeb,P87657,2093,4568,4568,967,1777,1777
janfeb,P87658,1753,2825,2825,1034,1317,1317
janfeb,P87661,782,1439,1439,558,798,798
janfeb,P88002,1825,5573,5573,1082,2864,2864
janfeb,P88003,3876,8970,8970,2752,4981,4981
janfeb,P88005,3062,7793,7793,2370,3934,3934
janfeb,P88006,5738,11296,11296,4441,6931,6931
janfeb,P88007,4904,10554,10554,3458,5574,5574
janfeb,P88008,2963,7481,7481,1342,3251,3251
janfeb,P88009,260,1345,1345,234,795,795
janfeb,P88011,4068,9072,9072,2560,4700,4700
janfeb,P88012,4034,7522,7522,929,1795,1795
janfeb,P88013,7191,11239,11239,6347,7096,7096
janfeb,P88014,2280,4124,4124,1251,1747,1747
janfeb,P88015,5077,10311,10311,3620,5189,5189
janfeb,P88016,6149,11526,11526,3579,5648,5648
janfeb,P88017,3181,6202,6202,2602,3498,3498
janfeb,P88018,2972,7893,7893,1983,4156,4156
janfeb,P88019,2806,5284,5284,1880,2772,2772
janfeb,P88020,8027,14003,14003,4032,6260,6260
janfeb,P88021,3479,5663,5663,2462,3090,3090
janfeb,P88023,3479,6233,6233,2349,2846,2846
janfeb,P88024,5108,10016,10016,2584,4521,4521
janfeb,P88025,5584,10202,10202,4593,6584,6584
janfeb,P88026,34638,54831,54831,13486,21126,21126
janfeb,P88031,2397,5160,5160,1544,2585,2585
janfeb,P88041,3045,6142,6142,1889,2788,2788
janfeb,P88042,4024,6584,6584,3143,4248,4248
janfeb,P88043,2428,7275,7275,1864,4359,4359
janfeb,P88044,2025,4554,4554,1580,2687,2687
janfeb,P88606,2754,5702,5702,2052,3279,3279
janfeb,P88615,1388,2272,2272,1162,1251,1251
janfeb,P88623,3429,6873,6873,2360,4110,4110
janfeb,P88625,3328,7293,7293,1898,3183,3183
