Date,REGION_CODE,ICB_CODE,SUB_ICB_LOCATION_CODE,PCN_CODE,PRACTICE_CODE,Indicator,Wait_Time,Core_Category,Value
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_10_1830,754.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_8_10,254.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Non-Core,17.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_10_1830,108.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_8_10,60.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Non-Core,3.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_10_1830,417.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_8_10,122.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Non-Core,14.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_10_1830,285.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_8_10,69.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Non-Core,10.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_10_1830,166.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_8_10,44.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Non-Core,7.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_10_1830,368.0
2026-06-04,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_8_10,205.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Core_10_1830,4.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Core_8_10,3.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_10_1830,218.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Core_8_10,82.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Non-Core,3.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_10_1830,126.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Core_8_10,48.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Non-Core,1.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_10_1830,769.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Core_8_10,245.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,1_30,Non-Core,18.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_10_1830,76.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Core_8_10,43.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,241_300,Non-Core,3.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_10_1830,456.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Core_8_10,132.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,31_60,Non-Core,10.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_10_1830,240.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Core_8_10,63.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,61_90,Non-Core,16.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_10_1830,195.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Core_8_10,55.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,91_120,Non-Core,13.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_10_1830,304.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Core_8_10,209.0
2026-06-05,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,>300,Non-Core,4.0
2026-06-06,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,0,Non-Core,1.0
2026-06-06,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,121_180,Non-Core,6.0
2026-06-06,Unmapped,Unmapped,Unmapped,Unmapped,Unassigned,CBT003,181_240,Non-Core,2.0
